Activities,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff
backfall1,0.54,-0.03,-1.04,1.58,2.50,0.07,-1.02,3.52,0.41,-0.57,-2.81,3.22,3.53,0.98,0.24,3.29
backfall2,3.12,0.10,-0.61,3.73,1.47,-0.10,-2.85,4.32,0.26,-0.46,-1.45,1.71,3.95,0.99,0.18,3.77
backfall3,2.62,0.06,-2.79,5.42,1.60,0.07,-3.98,5.57,1.06,-0.57,-1.54,2.60,5.06,0.98,0.23,4.83
backfall4,2.50,0.51,-0.95,3.45,3.98,0.55,-1.82,5.80,1.52,-0.15,-4.00,5.52,4.78,1.02,0.14,4.63
backfall5,3.35,0.44,-0.84,4.19,2.57,0.36,-2.64,5.21,3.40,-0.34,-4.00,7.41,4.68,1.02,0.43,4.25
backfall6,3.39,0.56,-1.10,4.48,2.22,0.01,-2.33,4.54,0.83,-0.18,-3.82,4.66,4.33,1.03,0.26,4.07
backfall7,3.55,0.50,-1.44,4.99,3.25,0.00,-2.59,5.84,1.56,-0.17,-4.00,5.57,5.22,1.02,0.31,4.91
backfall8,2.22,0.56,-1.84,4.06,2.23,0.13,-2.39,4.62,1.22,-0.06,-4.00,5.22,4.77,1.03,0.13,4.64
backfall9,2.95,0.59,-0.69,3.63,3.20,0.45,-2.36,5.56,2.38,-0.14,-3.11,5.49,4.48,1.02,0.30,4.18
backfall10,3.42,0.56,-1.51,4.94,2.79,0.45,-0.84,3.63,3.96,-0.16,-4.00,7.96,5.02,1.03,0.42,4.60
