Activities,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff
bending1,0.28,0.11,-0.29,0.56,1.79,0.98,0.69,1.10,0.35,0.05,-0.36,0.70,1.81,1.00,0.77,1.04
bending2,0.19,0.01,-0.27,0.46,1.06,0.98,0.74,0.32,0.14,0.00,-0.45,0.59,1.10,0.99,0.77,0.33
bending3,0.25,-0.00,-0.29,0.55,1.36,0.99,0.77,0.59,0.18,-0.01,-0.37,0.55,1.36,0.99,0.81,0.56
bending4,0.17,-0.05,-0.34,0.51,1.62,0.98,0.62,1.01,0.14,0.01,-0.49,0.63,1.63,0.99,0.64,0.99
bending5,0.08,-0.10,-0.55,0.64,1.66,0.97,0.32,1.34,0.18,0.04,-0.52,0.71,1.72,0.99,0.53,1.20
bending6,0.32,0.02,-0.40,0.72,1.64,0.98,0.43,1.21,0.13,-0.03,-0.56,0.69,1.68,0.99,0.66,1.02
bending7,0.17,0.08,-0.21,0.38,1.20,0.98,0.52,0.68,0.16,0.01,-0.53,0.69,1.21,0.99,0.74,0.47
bending8,0.08,-0.06,-0.42,0.50,1.08,0.97,0.81,0.27,0.17,0.00,-0.52,0.69,1.22,0.99,0.86,0.36
bending9,0.13,-0.07,-0.39,0.51,1.54,0.98,0.63,0.91,0.16,0.03,-0.45,0.61,1.55,0.99,0.65,0.90
bending10,0.23,0.00,-0.26,0.49,1.21,0.98,0.76,0.45,0.13,-0.02,-0.59,0.72,1.27,0.99,0.86,0.40
