Activities,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff
leftfall1,3.22,0.07,-3.96,7.18,3.63,0.35,-0.71,4.34,3.96,0.66,-1.92,5.88,5.61,1.03,0.30,5.32
leftfall2,2.53,-0.03,-3.00,5.54,2.11,0.32,-3.03,5.14,3.96,0.67,-2.58,6.54,4.99,1.03,0.62,4.37
leftfall3,3.41,0.02,-1.52,4.93,2.45,0.40,-2.83,5.28,3.96,0.62,-1.71,5.67,5.94,1.03,0.45,5.49
leftfall4,3.66,-0.00,-0.89,4.55,3.19,0.37,-1.17,4.36,3.96,0.63,-3.65,7.61,5.76,1.03,0.44,5.32
leftfall5,3.03,0.01,-2.63,5.66,3.34,0.35,-2.53,5.87,3.96,0.69,-1.03,4.99,5.18,1.03,0.51,4.67
leftfall6,2.23,0.09,-1.03,3.26,3.51,0.36,-0.08,3.58,3.32,0.67,-1.29,4.60,5.24,1.03,0.26,4.98
leftfall7,2.06,0.07,-1.83,3.88,2.15,0.38,-2.10,4.24,3.96,0.64,-2.07,6.03,3.99,1.02,0.55,3.45
leftfall8,3.09,0.04,-3.96,7.04,2.99,0.40,-0.95,3.94,3.96,0.62,-2.31,6.27,5.51,1.04,0.34,5.17
leftfall9,3.07,0.09,-1.80,4.86,3.57,0.37,-0.38,3.95,3.96,0.65,-1.86,5.82,5.95,1.03,0.43,5.52
leftfall10,3.82,0.08,-2.38,6.20,3.06,0.36,-0.63,3.70,3.96,0.65,-2.85,6.81,5.65,1.04,0.53,5.13
