Activities,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff
lying1,0.39,0.10,-0.42,0.81,1.01,0.36,-0.14,1.15,0.13,-0.58,-1.22,1.35,1.27,0.97,0.76,0.51
lying2,0.48,-0.02,-0.45,0.93,1.09,0.30,-0.47,1.56,0.09,-0.63,-1.25,1.35,1.28,0.97,0.51,0.77
lying3,0.14,-0.08,-0.54,0.69,1.05,0.32,-0.22,1.27,-0.01,-0.67,-1.13,1.12,1.16,0.97,0.73,0.43
lying4,-0.08,-0.18,-0.44,0.36,0.98,0.29,-0.32,1.30,-0.03,-0.67,-1.13,1.10,1.15,0.97,0.80,0.35
lying5,0.04,-0.10,-0.55,0.59,1.02,0.31,-0.30,1.32,0.01,-0.67,-1.20,1.20,1.32,0.97,0.66,0.66
lying6,0.17,-0.24,-0.92,1.09,1.01,0.69,-0.21,1.23,-0.15,-0.37,-1.02,0.87,1.34,0.97,0.65,0.68
lying7,0.20,-0.02,-0.60,0.80,1.03,0.36,-0.18,1.21,0.07,-0.63,-1.28,1.35,1.30,0.97,0.77,0.53
lying8,0.21,-0.04,-0.53,0.74,1.03,0.32,-0.16,1.19,-0.09,-0.71,-1.28,1.18,1.28,0.97,0.73,0.55
lying9,0.26,0.00,-0.42,0.68,0.96,0.31,-0.15,1.11,-0.11,-0.74,-1.25,1.14,1.25,0.97,0.80,0.45
lying10,0.19,-0.06,-0.43,0.61,1.01,0.33,-0.31,1.32,-0.01,-0.67,-1.23,1.22,1.25,0.97,0.77,0.48
