Activities,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff
recovery1,2.29,0.47,-0.43,2.72,1.20,0.39,-1.03,2.23,0.22,-0.01,-0.69,0.92,2.42,1.00,0.56,1.85
recovery2,1.58,0.59,-0.26,1.84,1.71,0.46,-1.24,2.95,0.85,0.12,-0.27,1.12,2.25,1.02,0.65,1.61
recovery3,1.25,0.40,-0.48,1.73,1.82,0.70,-0.99,2.81,0.84,0.13,-0.35,1.19,1.83,1.01,0.43,1.40
recovery4,1.94,0.21,-0.92,2.85,1.90,0.62,-0.71,2.61,1.41,-0.00,-2.55,3.96,3.08,1.00,0.52,2.57
recovery5,1.08,0.33,-0.99,2.07,1.29,0.58,-1.09,2.38,0.84,-0.01,-0.60,1.44,1.38,1.00,0.15,1.22
recovery6,1.74,0.33,-3.85,5.59,1.95,0.31,-1.24,3.20,1.08,-0.08,-0.91,1.99,4.00,1.02,0.31,3.69
recovery7,0.04,-0.47,-2.35,2.38,2.73,0.50,-0.60,3.33,1.58,0.24,-1.11,2.69,2.96,1.00,0.42,2.54
recovery8,1.30,0.37,-0.58,1.88,1.39,0.42,-0.97,2.36,0.85,0.03,-0.41,1.26,1.45,1.01,0.41,1.04
recovery9,1.22,0.38,-0.62,1.83,1.45,0.53,-0.97,2.43,1.13,0.05,-0.64,1.77,1.61,1.01,0.75,0.86
recovery10,1.23,0.41,-1.20,2.43,2.12,0.54,-0.96,3.08,0.84,-0.08,-0.93,1.77,2.45,1.01,0.48,1.97
