Activities,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff
rightfall1,0.58,-0.58,-3.96,4.54,1.34,0.32,-2.15,3.50,0.30,-0.33,-2.08,2.38,4.96,0.98,0.16,4.80
rightfall2,0.95,-0.54,-3.96,4.90,2.01,0.50,-1.55,3.56,0.71,-0.20,-2.48,3.19,4.29,0.99,0.29,4.00
rightfall3,1.02,-0.52,-3.10,4.12,1.72,0.54,-0.67,2.39,0.92,-0.23,-3.77,4.69,3.93,0.99,0.32,3.61
rightfall4,0.71,-0.49,-2.09,2.81,1.67,0.42,-1.03,2.70,0.39,-0.38,-1.82,2.21,2.64,0.98,0.26,2.39
rightfall5,1.30,-0.59,-3.76,5.06,1.40,0.47,-0.56,1.96,1.06,-0.20,-4.00,5.06,4.26,0.99,0.13,4.13
rightfall6,2.92,-0.59,-3.96,6.88,3.08,0.50,-2.49,5.57,2.99,-0.06,-1.84,4.83,4.92,0.99,0.12,4.81
rightfall7,1.12,-0.64,-3.49,4.62,2.29,0.52,-1.09,3.38,3.96,-0.17,-4.00,7.96,4.48,1.00,0.40,4.07
rightfall8,1.04,-0.58,-2.19,3.23,1.96,0.52,-1.20,3.16,0.52,-0.20,-2.80,3.32,3.16,0.98,0.10,3.07
rightfall9,1.25,-0.53,-1.58,2.83,2.79,0.35,-0.82,3.61,1.33,-0.45,-3.73,5.06,3.82,0.98,0.39,3.43
rightfall10,2.50,-0.58,-3.96,6.46,2.60,0.52,-1.30,3.90,3.96,-0.19,-4.00,7.96,4.76,1.00,0.32,4.44
