Activities,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff
sitting1,0.78,0.08,-0.41,1.19,1.20,0.37,-0.10,1.29,0.18,-0.64,-1.24,1.42,1.31,0.97,0.42,0.89
sitting2,0.78,0.05,-0.36,1.14,1.34,0.46,-0.29,1.63,0.83,-0.48,-2.02,2.85,2.31,0.98,0.32,1.99
sitting3,0.15,-0.09,-0.40,0.55,0.97,0.38,-0.15,1.13,0.23,-0.60,-1.63,1.86,1.64,0.97,0.71,0.94
sitting4,0.40,0.04,-0.21,0.61,1.08,0.43,0.01,1.08,0.26,-0.56,-1.47,1.72,1.52,0.97,0.27,1.24
sitting5,0.21,0.09,-0.19,0.40,1.18,0.42,0.03,1.15,0.18,-0.60,-1.27,1.45,1.27,0.97,0.74,0.53
sitting6,0.17,0.01,-0.23,0.40,1.19,0.39,-0.04,1.22,0.20,-0.58,-1.40,1.61,1.41,0.97,0.83,0.58
sitting7,0.17,0.01,-0.32,0.49,1.13,0.41,-0.14,1.27,0.14,-0.59,-1.20,1.34,1.22,0.97,0.83,0.39
sitting8,0.07,-0.05,-0.33,0.39,1.13,0.31,-0.09,1.22,0.28,-0.66,-1.01,1.29,1.24,0.96,0.47,0.77
sitting9,0.01,-0.10,-0.40,0.40,1.20,0.35,-0.12,1.32,0.22,-0.58,-1.08,1.30,1.22,0.97,0.58,0.63
sitting10,0.14,-0.01,-0.33,0.46,1.12,0.36,-0.13,1.25,0.18,-0.62,-1.15,1.33,1.18,0.97,0.74,0.44
sitting11,-0.02,-0.09,-0.42,0.39,1.10,0.36,-0.18,1.28,0.13,-0.62,-1.20,1.33,1.24,0.96,0.67,0.57
sitting12,0.10,-0.00,-0.26,0.36,1.21,0.39,-0.09,1.30,0.22,-0.59,-1.14,1.36,1.22,0.97,0.84,0.38
