Activities,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff
standing1,-0.01,-0.04,-0.05,0.04,0.99,0.98,0.97,0.02,0.16,0.14,0.12,0.04,1.00,0.99,0.98,0.02
standing2,-0.14,-0.19,-0.29,0.15,1.02,0.96,0.89,0.13,0.25,0.13,0.09,0.16,1.05,0.99,0.93,0.12
standing3,-0.04,-0.06,-0.07,0.03,1.00,0.98,0.97,0.03,0.13,0.11,0.07,0.06,1.01,0.99,0.97,0.04
standing4,-0.20,-0.23,-0.25,0.05,0.97,0.96,0.94,0.03,0.14,0.11,0.08,0.07,1.00,0.99,0.97,0.03
standing5,-0.18,-0.20,-0.22,0.04,0.97,0.96,0.95,0.02,0.12,0.10,0.07,0.05,1.00,0.99,0.98,0.02
standing6,-0.26,-0.28,-0.29,0.04,0.95,0.94,0.93,0.03,0.14,0.11,0.09,0.05,1.00,0.99,0.98,0.02
standing7,-0.19,-0.23,-0.25,0.05,0.97,0.96,0.94,0.03,0.13,0.10,0.05,0.08,1.00,0.99,0.97,0.03
standing8,-0.13,-0.15,-0.17,0.04,0.99,0.97,0.95,0.04,0.11,0.08,0.05,0.06,1.00,0.99,0.97,0.04
standing9,-0.21,-0.23,-0.25,0.03,0.97,0.96,0.95,0.02,0.11,0.08,0.05,0.06,1.00,0.99,0.98,0.02
standing10,-0.04,-0.06,-0.08,0.05,1.00,0.99,0.97,0.02,0.11,0.07,0.03,0.07,1.00,0.99,0.98,0.02
