Activities,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff
walking1,1.02,0.23,-0.45,1.47,2.24,0.96,0.35,1.89,0.60,0.00,-0.69,1.29,2.27,1.02,0.41,1.86
walking2,0.55,0.03,-0.77,1.32,2.15,0.98,0.38,1.77,0.77,0.00,-0.81,1.59,2.24,1.01,0.44,1.80
walking3,0.29,-0.19,-1.23,1.52,1.97,0.96,0.37,1.60,0.64,0.06,-0.59,1.23,2.23,1.01,0.44,1.80
walking4,0.63,-0.10,-0.96,1.59,2.63,0.98,0.38,2.25,0.67,0.04,-0.77,1.43,2.86,1.01,0.40,2.45
walking5,-0.14,-0.49,-1.37,1.24,1.52,0.82,0.30,1.22,0.71,0.03,-0.82,1.53,1.79,0.99,0.52,1.27
walking6,0.50,-0.25,-0.93,1.43,2.07,0.93,0.28,1.79,0.64,0.02,-0.65,1.29,2.17,1.00,0.38,1.79
walking7,0.98,0.10,-0.60,1.58,1.96,0.97,0.46,1.50,0.72,0.04,-0.57,1.29,2.05,1.01,0.51,1.54
walking8,0.83,0.05,-0.75,1.58,1.92,0.98,0.52,1.40,0.53,0.05,-0.67,1.20,2.04,1.01,0.59,1.45
walking9,0.65,-0.04,-0.69,1.34,2.24,0.98,0.41,1.82,0.53,0.03,-0.68,1.21,2.32,1.00,0.45,1.86
walking10,0.32,-0.11,-0.93,1.26,1.93,0.98,0.40,1.53,0.45,0.04,-0.67,1.12,2.02,1.01,0.43,1.59
