time,x,y,z
5.004,-0.083,0.941,-0.167
5.005,-0.108,0.929,-0.124
5.006,-0.120,0.918,-0.104
5.008,-0.150,0.921,-0.076
5.009,-0.163,0.916,-0.040
5.010,-0.173,0.926,-0.014
5.011,-0.186,0.929,-0.006
5.012,-0.228,0.936,-0.017
5.013,-0.259,0.951,-0.016
5.014,-0.288,0.945,-0.034
5.015,-0.312,0.969,-0.050
5.016,-0.331,0.975,-0.065
5.017,-0.139,0.782,-0.252
5.019,-0.130,0.779,-0.263
5.020,-0.121,0.784,-0.285
5.060,-0.120,0.784,-0.272
5.061,-0.124,0.782,-0.273
5.062,-0.110,0.789,-0.278
5.062,-0.109,0.788,-0.287
5.064,-0.105,0.802,-0.284
5.064,-0.105,0.812,-0.297
5.065,-0.102,0.823,-0.308
5.066,-0.107,0.846,-0.303
5.066,-0.095,0.864,-0.307
5.548,-0.096,0.880,-0.300
5.549,-0.092,0.890,-0.290
5.550,-0.090,0.899,-0.285
5.550,-0.090,0.908,-0.270
5.551,-0.090,0.906,-0.260
5.552,-0.089,0.911,-0.247
5.552,-0.078,0.914,-0.243
5.553,-0.067,0.906,-0.232
5.554,-0.067,0.889,-0.231
5.555,-0.059,0.880,-0.229
5.555,-0.049,0.858,-0.233
5.556,-0.046,0.845,-0.243
5.557,0.015,1.018,-0.038
5.558,0.022,1.021,-0.040
5.585,0.030,1.022,-0.030
5.586,0.030,1.030,-0.017
5.587,0.015,1.024,0.004
5.588,0.017,1.024,0.026
5.588,0.006,1.023,0.046
5.589,-0.010,1.017,0.058
5.595,-0.021,1.008,0.062
5.599,-0.041,0.989,0.062
5.604,-0.051,0.988,0.064
5.609,-0.060,0.983,0.057
5.614,-0.058,0.979,0.045
5.619,-0.072,0.983,0.032
5.624,-0.066,0.982,0.025
5.629,-0.068,0.981,0.028
5.634,-0.067,0.982,0.029
5.639,-0.059,0.986,0.028
5.644,-0.063,0.977,0.026
5.649,-0.065,0.979,0.039
5.654,-0.069,0.984,0.037
5.659,-0.056,0.985,0.047
5.664,-0.068,0.987,0.059
5.670,-0.079,0.995,0.061
5.674,-0.081,0.995,0.075
5.679,-0.094,1.000,0.079
5.684,-0.103,0.994,0.082
5.689,-0.105,0.993,0.082
5.695,-0.100,0.983,0.069
5.699,-0.103,0.975,0.057
5.707,-0.097,0.978,0.049
5.709,-0.085,0.980,0.035
5.721,-0.068,0.983,0.026
5.723,-0.053,0.989,0.029
5.724,-0.035,0.990,0.030
5.748,-0.028,1.007,0.025
5.750,-0.021,1.012,0.034
5.752,-0.015,1.016,0.039
5.753,-0.018,1.023,0.049
5.755,-0.019,1.010,0.068
5.758,-0.022,1.008,0.076
5.760,-0.027,1.000,0.073
5.800,-0.030,0.994,0.082
5.801,-0.040,0.992,0.078
5.801,-0.047,0.981,0.086
5.802,-0.050,0.974,0.075
5.803,-0.036,0.979,0.067
5.804,-0.033,0.977,0.063
5.804,-0.033,0.981,0.066
5.805,-0.029,0.987,0.066
5.806,-0.028,0.997,0.070
5.818,-0.038,1.002,0.078
5.819,-0.049,1.006,0.093
5.820,-0.054,1.009,0.105
5.828,-0.062,1.013,0.108
5.831,-0.071,1.006,0.113
5.835,-0.085,0.999,0.113
5.842,-0.089,0.998,0.111
5.847,-0.096,0.995,0.097
5.853,-0.107,0.988,0.082
5.855,-0.103,0.979,0.082
5.862,-0.100,0.976,0.074
5.867,-0.092,0.970,0.069
6.148,-0.092,0.960,0.066
6.251,-0.078,0.970,0.064
6.253,-0.074,0.973,0.052
6.254,-0.069,0.972,0.050
6.255,-0.059,0.991,0.048
6.257,-0.051,1.000,0.058
6.258,-0.048,1.008,0.056
6.259,-0.034,1.017,0.069
6.260,-0.031,1.016,0.080
6.261,-0.042,1.011,0.077
6.263,-0.039,1.007,0.085
6.264,-0.053,1.001,0.088
6.265,-0.127,0.982,0.055
6.267,-0.158,0.971,0.035
6.269,-0.156,0.981,0.026
6.271,-0.164,0.981,0.024
6.273,-0.161,0.980,0.018
6.275,-0.157,0.980,0.015
6.663,-0.155,0.975,0.012
6.664,-0.159,0.973,0.005
6.665,-0.160,0.970,0.011
6.666,-0.156,0.961,0.002
6.666,-0.161,0.959,0.007
6.667,-0.165,0.960,0.004
6.668,-0.169,0.951,-0.004
6.668,-0.167,0.956,-0.000
6.669,-0.172,0.953,-0.004
6.670,-0.177,0.949,-0.007
6.670,-0.183,0.953,-0.010
6.671,-0.187,0.957,-0.015
6.672,-0.311,0.904,-0.097
6.673,-0.314,0.910,-0.100
6.696,-0.315,0.912,-0.102
6.697,-0.294,0.921,-0.102
6.697,-0.289,0.932,-0.107
6.698,-0.280,0.934,-0.099
6.699,-0.266,0.944,-0.094
6.704,-0.261,0.945,-0.101
6.705,-0.238,0.952,-0.098
6.712,-0.226,0.954,-0.086
6.716,-0.211,0.947,-0.093
6.722,-0.197,0.945,-0.085
6.727,-0.180,0.937,-0.081
6.732,-0.177,0.936,-0.077
6.737,-0.168,0.934,-0.079
6.742,-0.161,0.934,-0.076
6.747,-0.153,0.926,-0.075
6.758,-0.149,0.930,-0.078
6.760,-0.145,0.930,-0.074
6.762,-0.156,0.916,-0.080
6.797,-0.164,0.908,-0.091
6.798,-0.181,0.899,-0.073
6.799,-0.190,0.888,-0.081
6.799,-0.208,0.884,-0.067
6.800,-0.222,0.873,-0.061
6.801,-0.237,0.872,-0.047
6.801,-0.241,0.865,-0.058
6.802,-0.241,0.855,-0.064
6.809,-0.243,0.851,-0.079
6.812,-0.242,0.840,-0.081
6.817,-0.232,0.837,-0.088
6.822,-0.223,0.838,-0.091
6.827,-0.217,0.835,-0.093
6.833,-0.198,0.844,-0.076
6.838,-0.195,0.855,-0.048
6.846,-0.197,0.858,-0.047
6.847,-0.201,0.870,-0.026
6.854,-0.210,0.879,-0.028
6.869,-0.222,0.897,-0.026
6.871,-0.232,0.914,-0.030
6.872,-0.251,0.923,-0.021
6.874,-0.265,0.945,-0.018
6.894,-0.286,0.965,-0.018
6.895,-0.295,0.972,-0.015
6.895,-0.308,0.989,-0.002
6.896,-0.313,1.008,0.000
6.897,-0.315,1.008,0.004
6.905,-0.317,1.012,0.001
6.908,-0.313,1.019,0.010
6.913,-0.312,1.013,-0.009
6.919,-0.303,1.015,-0.005
6.926,-0.299,1.012,-0.008
6.928,-0.292,1.014,-0.020
6.942,-0.286,1.020,-0.031
6.943,-0.273,1.021,-0.045
6.944,-0.263,1.024,-0.043
6.950,-0.247,1.031,-0.062
6.954,-0.235,1.029,-0.069
6.958,-0.223,1.023,-0.083
6.963,-0.211,1.011,-0.081
6.968,-0.199,1.004,-0.082
6.973,-0.183,0.998,-0.078
6.979,-0.182,0.991,-0.066
6.984,-0.189,0.982,-0.050
6.988,-0.199,0.972,-0.021
6.994,-0.206,0.967,0.003
6.999,-0.211,0.963,0.006
7.004,-0.212,0.951,0.030
7.008,-0.223,0.952,0.055
7.236,-0.231,0.945,0.071
7.237,-0.239,0.946,0.087
7.368,-0.243,0.950,0.090
7.370,-0.246,0.944,0.095
7.372,-0.243,0.938,0.094
7.373,-0.242,0.928,0.082
7.375,-0.249,0.932,0.065
7.377,-0.248,0.933,0.055
7.378,-0.244,0.935,0.047
7.380,-0.248,0.931,0.042
7.382,-0.249,0.917,0.034
7.384,-0.242,0.903,0.027
7.386,-0.202,0.965,0.086
7.387,-0.201,0.964,0.094
7.389,-0.166,0.961,0.104
7.391,-0.164,0.954,0.108
7.394,-0.175,0.952,0.108
7.396,-0.169,0.960,0.106
7.399,-0.168,0.961,0.096
7.401,-0.168,0.963,0.106
7.403,-0.174,0.973,0.104
7.800,-0.180,0.968,0.113
7.800,-0.178,0.976,0.111
7.801,-0.181,0.981,0.116
7.802,-0.178,0.985,0.126
7.802,-0.183,0.985,0.133
7.803,-0.177,0.982,0.131
7.804,-0.180,0.983,0.136
7.804,-0.178,0.979,0.129
7.805,-0.175,0.979,0.115
7.806,-0.169,0.970,0.125
7.807,-0.172,0.968,0.121
7.808,-0.168,0.967,0.119
7.809,-0.190,0.975,0.152
7.809,-0.185,0.976,0.143
7.830,-0.181,0.968,0.139
7.830,-0.181,0.972,0.130
7.831,-0.177,0.971,0.123
7.832,-0.179,0.966,0.115
7.836,-0.176,0.967,0.118
7.840,-0.172,0.965,0.116
7.844,-0.171,0.966,0.129
7.850,-0.177,0.969,0.137
7.854,-0.176,0.965,0.139
7.860,-0.179,0.966,0.141
7.865,-0.178,0.966,0.144
7.870,-0.181,0.960,0.155
7.875,-0.176,0.961,0.154
7.880,-0.178,0.961,0.143
7.885,-0.173,0.960,0.150
7.890,-0.172,0.960,0.148
7.895,-0.180,0.958,0.140
7.900,-0.176,0.959,0.144
7.905,-0.172,0.960,0.136
7.910,-0.174,0.958,0.139
7.915,-0.177,0.963,0.136
7.920,-0.172,0.965,0.137
7.925,-0.170,0.966,0.137
7.930,-0.167,0.970,0.132
7.935,-0.171,0.972,0.132
7.940,-0.173,0.969,0.127
7.945,-0.173,0.975,0.129
7.950,-0.175,0.973,0.127
7.958,-0.176,0.973,0.134
7.960,-0.183,0.973,0.129
7.984,-0.174,0.972,0.139
7.985,-0.173,0.968,0.134
7.987,-0.180,0.970,0.128
7.989,-0.174,0.968,0.133
7.990,-0.173,0.967,0.128
7.991,-0.178,0.963,0.131
8.000,-0.172,0.962,0.126
8.001,-0.180,0.967,0.128
8.005,-0.176,0.967,0.129
8.010,-0.170,0.968,0.135
8.016,-0.175,0.970,0.136
8.021,-0.174,0.969,0.132
8.026,-0.168,0.964,0.135
8.031,-0.176,0.966,0.138
8.036,-0.179,0.966,0.129
8.042,-0.180,0.961,0.133
8.047,-0.186,0.965,0.138
8.052,-0.178,0.966,0.127
8.057,-0.183,0.963,0.136
8.062,-0.186,0.963,0.129
8.067,-0.189,0.963,0.127
8.072,-0.189,0.963,0.128
8.077,-0.185,0.963,0.132
8.082,-0.189,0.965,0.127
8.087,-0.178,0.961,0.136
8.093,-0.185,0.971,0.132
8.099,-0.177,0.967,0.136
8.104,-0.180,0.966,0.133
8.107,-0.181,0.968,0.125
8.114,-0.180,0.967,0.132
8.116,-0.181,0.964,0.130
8.153,-0.180,0.961,0.126
8.154,-0.178,0.964,0.136
8.156,-0.182,0.968,0.131
8.158,-0.181,0.964,0.134
8.159,-0.187,0.965,0.127
8.161,-0.185,0.967,0.130
8.284,-0.182,0.964,0.133
8.285,-0.183,0.962,0.130
8.288,-0.188,0.963,0.133
8.290,-0.181,0.963,0.137
8.293,-0.187,0.961,0.138
8.294,-0.184,0.960,0.132
8.296,-0.181,0.967,0.130
8.298,-0.179,0.967,0.132
8.300,-0.180,0.971,0.128
8.302,-0.175,0.965,0.133
8.304,-0.177,0.969,0.128
8.306,-0.177,0.966,0.120
8.308,-0.184,0.967,0.133
8.310,-0.181,0.972,0.131
8.312,-0.181,0.969,0.130
8.314,-0.182,0.972,0.129
8.315,-0.181,0.973,0.128
8.317,-0.181,0.970,0.127
8.319,-0.186,0.965,0.126
9.005,-0.178,0.965,0.128
9.006,-0.179,0.963,0.129
9.007,-0.177,0.966,0.131
9.007,-0.179,0.963,0.131
9.008,-0.183,0.966,0.124
9.009,-0.185,0.958,0.135
9.009,-0.187,0.961,0.133
9.010,-0.178,0.958,0.137
9.011,-0.185,0.961,0.136
9.012,-0.177,0.958,0.145
9.012,-0.182,0.966,0.146
9.013,-0.186,0.957,0.144
9.014,-0.178,0.964,0.127
9.014,-0.181,0.967,0.126
9.033,-0.179,0.963,0.129
9.033,-0.176,0.962,0.124
9.034,-0.181,0.966,0.124
9.034,-0.179,0.967,0.124
9.039,-0.184,0.964,0.133
9.043,-0.181,0.971,0.128
9.048,-0.180,0.969,0.116
9.053,-0.178,0.964,0.122
9.058,-0.179,0.968,0.121
9.063,-0.180,0.966,0.120
9.068,-0.179,0.962,0.120
9.073,-0.176,0.970,0.121
9.078,-0.179,0.969,0.125
9.084,-0.174,0.970,0.119
9.089,-0.177,0.969,0.121
9.094,-0.176,0.972,0.121
9.099,-0.177,0.968,0.112
9.104,-0.174,0.969,0.118
9.109,-0.177,0.973,0.128
9.114,-0.181,0.969,0.123
9.119,-0.173,0.964,0.120
9.124,-0.172,0.966,0.126
9.129,-0.178,0.968,0.118
9.134,-0.170,0.967,0.120
9.140,-0.174,0.967,0.123
9.144,-0.173,0.966,0.124
9.149,-0.173,0.963,0.122
9.154,-0.173,0.965,0.122
9.159,-0.173,0.970,0.123
9.164,-0.175,0.965,0.124
9.169,-0.173,0.967,0.132
9.175,-0.168,0.967,0.124
9.180,-0.173,0.963,0.122
9.185,-0.167,0.966,0.122
9.190,-0.173,0.966,0.128
9.195,-0.175,0.968,0.116
9.200,-0.171,0.968,0.121
9.205,-0.171,0.962,0.122
9.210,-0.165,0.964,0.120
9.215,-0.169,0.962,0.123
9.220,-0.166,0.959,0.139
9.225,-0.162,0.958,0.132
9.230,-0.163,0.959,0.121
9.235,-0.166,0.964,0.128
9.240,-0.163,0.965,0.132
9.245,-0.169,0.966,0.119
9.250,-0.169,0.966,0.122
9.255,-0.169,0.971,0.129
9.260,-0.173,0.969,0.136
9.265,-0.172,0.968,0.123
9.270,-0.172,0.974,0.126
9.275,-0.170,0.969,0.130
9.280,-0.173,0.965,0.132
9.286,-0.170,0.970,0.131
9.291,-0.170,0.964,0.135
9.295,-0.166,0.966,0.131
9.300,-0.171,0.963,0.129
9.305,-0.167,0.965,0.129
9.310,-0.164,0.964,0.127
9.315,-0.167,0.963,0.131
9.715,-0.166,0.964,0.128
9.717,-0.166,0.970,0.135
9.719,-0.163,0.964,0.131
9.720,-0.171,0.966,0.133
9.723,-0.164,0.966,0.134
9.724,-0.170,0.964,0.130
9.726,-0.167,0.970,0.128
9.834,-0.167,0.971,0.129
9.835,-0.167,0.973,0.124
9.835,-0.166,0.970,0.128
9.836,-0.166,0.969,0.129
9.837,-0.174,0.973,0.131
9.837,-0.156,0.966,0.130
9.838,-0.156,0.969,0.124
9.839,-0.151,0.972,0.122
9.840,-0.153,0.971,0.125
9.841,-0.151,0.977,0.130
9.843,-0.149,0.973,0.127
9.844,-0.148,0.975,0.125
9.846,-0.155,0.973,0.115
9.850,-0.153,0.973,0.120
9.851,-0.152,0.971,0.124
9.853,-0.155,0.976,0.117
10.065,-0.147,0.977,0.138
10.066,-0.150,0.971,0.116
10.067,-0.145,0.972,0.117
10.067,-0.150,0.978,0.115
10.068,-0.151,0.976,0.120
10.069,-0.145,0.977,0.128
10.070,-0.146,0.972,0.128
10.070,-0.148,0.975,0.127
10.071,-0.149,0.969,0.126
10.072,-0.150,0.965,0.127
10.073,-0.151,0.966,0.123
10.074,-0.146,0.967,0.121
10.074,-0.149,0.975,0.114
10.075,-0.152,0.973,0.121
10.097,-0.152,0.976,0.120
10.098,-0.152,0.972,0.115
10.099,-0.153,0.975,0.109
10.100,-0.153,0.971,0.121
10.100,-0.146,0.972,0.119
10.107,-0.151,0.972,0.117
10.111,-0.147,0.968,0.120
10.116,-0.145,0.969,0.110
10.121,-0.149,0.970,0.113
10.126,-0.141,0.976,0.119
10.131,-0.150,0.974,0.115
10.136,-0.145,0.970,0.119
10.141,-0.147,0.970,0.116
10.147,-0.144,0.971,0.118
10.152,-0.147,0.977,0.113
10.157,-0.145,0.969,0.120
10.162,-0.151,0.974,0.124
10.167,-0.149,0.971,0.120
10.172,-0.146,0.977,0.120
10.177,-0.154,0.977,0.117
10.181,-0.153,0.975,0.123
10.187,-0.152,0.975,0.127
10.197,-0.156,0.980,0.115
10.197,-0.152,0.974,0.118
10.202,-0.152,0.974,0.111
10.206,-0.151,0.975,0.110
10.211,-0.155,0.970,0.113
