time,x,y,z
5.118,-0.013,0.992,-0.003
5.119,-0.010,0.990,0.005
5.120,-0.012,0.987,0.010
5.120,-0.011,0.987,0.011
5.121,-0.015,0.983,0.006
5.122,-0.011,0.986,0.011
5.123,-0.017,0.985,0.020
5.123,-0.016,0.988,0.010
5.124,-0.019,0.987,0.010
5.125,-0.017,0.986,0.014
5.125,-0.020,0.987,0.013
5.126,-0.022,0.993,0.012
5.127,-0.023,0.984,0.046
5.127,-0.021,0.990,0.043
5.272,-0.024,0.988,0.028
5.272,-0.031,0.984,0.026
5.273,-0.028,0.990,0.027
5.274,-0.030,0.993,0.022
5.274,-0.030,0.995,0.030
5.275,-0.031,0.994,0.026
5.276,-0.029,0.999,0.023
5.276,-0.030,0.997,0.023
5.277,-0.014,0.998,0.020
5.278,-0.014,0.995,0.016
5.278,-0.014,0.992,0.014
5.281,-0.011,0.996,0.017
5.282,-0.016,0.995,0.019
5.283,-0.012,0.998,0.009
5.283,-0.009,0.995,0.019
5.290,-0.008,0.996,0.019
5.294,-0.002,0.991,0.022
5.302,0.000,0.992,0.023
5.304,0.001,0.987,0.026
5.311,-0.002,0.991,0.027
5.319,-0.001,0.983,0.033
5.320,-0.004,0.980,0.045
5.327,-0.005,0.982,0.041
5.329,-0.005,0.984,0.054
5.338,-0.011,0.989,0.052
5.339,-0.014,0.989,0.040
5.345,-0.017,0.987,0.045
5.348,-0.024,0.983,0.044
5.353,-0.033,0.985,0.048
5.376,-0.029,0.990,0.052
5.377,-0.028,0.980,0.055
5.378,-0.033,0.981,0.055
5.379,-0.031,0.981,0.054
5.379,-0.036,0.986,0.049
5.499,-0.038,0.983,0.051
5.500,-0.038,0.976,0.044
5.500,-0.043,0.982,0.052
5.501,-0.040,0.987,0.037
5.502,-0.036,0.987,0.047
5.502,-0.040,0.992,0.044
5.503,-0.040,0.993,0.046
5.504,-0.040,0.991,0.038
5.506,-0.040,0.999,0.031
5.507,-0.036,0.994,0.037
5.508,-0.040,1.003,0.037
5.508,-0.044,0.999,0.027
5.509,-0.003,0.999,0.043
5.510,-0.001,0.997,0.034
5.510,-0.002,0.993,0.031
5.521,-0.005,0.990,0.034
5.522,-0.004,0.986,0.034
5.527,-0.008,0.989,0.036
5.530,-0.012,0.983,0.032
5.535,-0.022,0.979,0.031
5.540,-0.016,0.975,0.032
5.545,-0.014,0.977,0.029
5.550,-0.023,0.971,0.033
5.555,-0.029,0.975,0.038
5.560,-0.029,0.976,0.047
5.565,-0.032,0.977,0.036
5.570,-0.029,0.978,0.042
5.575,-0.026,0.986,0.042
5.580,-0.033,0.988,0.049
5.585,-0.028,0.996,0.044
5.590,-0.031,0.993,0.040
5.595,-0.029,0.998,0.042
5.600,-0.034,0.994,0.042
5.605,-0.043,0.986,0.038
5.610,-0.064,0.965,0.026
5.615,-0.047,0.980,0.016
5.620,-0.034,0.992,0.034
5.626,-0.023,0.999,0.039
5.631,-0.025,1.003,0.045
5.636,-0.031,1.002,0.052
5.646,-0.028,1.001,0.043
5.648,-0.027,0.995,0.045
5.665,-0.024,1.000,0.040
5.667,-0.024,0.995,0.038
5.669,-0.019,0.998,0.042
5.671,-0.011,0.999,0.030
5.673,-0.017,0.993,0.033
5.699,-0.010,0.991,0.028
5.700,-0.009,0.990,0.028
5.700,-0.010,0.995,0.030
5.701,-0.010,0.987,0.025
5.701,-0.006,0.992,0.021
5.899,-0.010,0.988,0.017
5.900,-0.012,0.995,0.011
5.903,-0.014,0.990,0.021
5.905,-0.011,0.991,0.016
5.907,-0.012,0.991,0.019
5.909,-0.006,0.991,0.013
5.910,-0.013,0.991,0.018
5.912,-0.003,0.986,0.027
5.914,0.001,0.989,0.017
5.915,-0.005,0.981,0.024
5.917,-0.008,0.974,0.021
5.919,0.002,0.986,0.019
5.920,-0.004,0.967,0.028
5.923,0.000,0.968,0.035
5.925,0.001,0.969,0.042
5.927,-0.004,0.981,0.051
5.929,-0.008,0.992,0.050
5.931,-0.012,0.995,0.047
6.146,-0.010,1.003,0.045
6.146,-0.015,1.009,0.046
6.147,-0.016,1.009,0.050
6.148,-0.024,1.007,0.038
6.148,-0.019,1.001,0.040
6.149,-0.017,1.007,0.034
6.150,-0.028,0.998,0.040
6.150,-0.028,1.002,0.035
6.151,-0.028,1.002,0.043
6.152,-0.025,1.003,0.044
6.153,-0.030,1.004,0.052
6.153,-0.021,1.003,0.056
6.154,-0.024,0.992,0.041
6.155,-0.028,0.989,0.047
6.161,-0.026,0.989,0.040
6.165,-0.025,0.990,0.049
6.170,-0.023,0.990,0.048
6.178,-0.013,0.983,0.057
6.180,-0.023,0.988,0.057
6.186,-0.016,0.987,0.061
6.193,-0.012,0.985,0.061
6.195,-0.018,0.984,0.046
6.203,-0.018,0.983,0.058
6.205,-0.018,0.980,0.061
6.213,-0.017,0.977,0.056
6.215,-0.020,0.981,0.056
6.223,-0.018,0.982,0.058
6.225,-0.018,0.989,0.059
6.234,-0.024,0.991,0.056
