time,x,y,z
5.054,0.022,1.035,-0.066
5.055,0.027,1.026,-0.047
5.057,0.016,1.010,-0.028
5.058,-0.002,0.997,-0.015
5.059,-0.016,0.988,-0.019
5.060,-0.008,0.979,-0.011
5.061,-0.004,0.979,-0.012
5.063,-0.008,0.975,-0.005
5.064,-0.008,0.976,0.004
5.065,-0.013,0.971,0.005
5.066,-0.016,0.972,0.014
5.068,-0.016,0.976,0.003
5.069,-0.020,0.984,0.009
5.070,-0.029,0.984,0.021
5.071,-0.034,0.983,0.013
5.072,-0.037,0.984,0.016
5.282,-0.051,0.990,0.011
5.283,-0.045,0.988,0.007
5.284,-0.051,0.984,0.000
5.284,-0.050,0.982,-0.002
5.285,-0.049,0.979,-0.001
5.286,-0.047,0.970,-0.001
5.286,-0.049,0.965,0.010
5.287,-0.047,0.964,0.018
5.288,-0.048,0.962,0.027
5.288,-0.045,0.964,0.030
5.289,-0.040,0.970,0.044
5.289,-0.039,0.976,0.046
5.290,-0.162,0.959,-0.110
5.302,-0.188,0.952,-0.121
5.303,-0.216,0.943,-0.128
5.304,-0.241,0.943,-0.133
5.321,-0.267,0.933,-0.143
5.322,-0.300,0.932,-0.145
5.323,-0.316,0.925,-0.142
5.323,-0.331,0.923,-0.136
5.510,-0.342,0.931,-0.144
5.510,-0.344,0.937,-0.158
5.511,-0.350,0.944,-0.172
5.512,-0.361,0.945,-0.207
5.513,-0.349,0.951,-0.227
5.513,-0.344,0.953,-0.232
5.514,-0.328,0.956,-0.208
5.515,-0.310,0.963,-0.181
5.515,-0.304,0.973,-0.134
5.631,-0.298,0.970,-0.112
5.632,-0.295,0.974,-0.111
5.633,-0.291,0.966,-0.084
5.634,-0.203,0.947,-0.161
5.635,-0.206,0.959,-0.163
5.636,-0.212,0.976,-0.161
5.637,-0.210,0.994,-0.173
5.638,-0.220,0.997,-0.176
5.640,-0.224,1.018,-0.188
5.641,-0.226,1.021,-0.187
5.642,-0.240,1.032,-0.198
5.644,-0.235,1.033,-0.199
5.646,-0.120,1.002,-0.206
5.648,-0.129,1.002,-0.203
5.649,-0.151,0.995,-0.184
5.651,-0.156,0.988,-0.183
5.706,-0.175,0.986,-0.176
5.707,-0.168,0.984,-0.172
5.707,-0.156,0.986,-0.161
5.708,-0.153,0.977,-0.157
5.709,-0.156,0.971,-0.147
5.710,-0.149,0.967,-0.136
5.711,-0.154,0.945,-0.127
5.711,-0.158,0.933,-0.123
5.712,-0.151,0.921,-0.125
5.713,-0.157,0.905,-0.119
5.713,-0.164,0.896,-0.111
5.714,-0.173,0.883,-0.101
5.715,-0.178,0.879,-0.091
6.011,-0.168,0.876,-0.074
6.012,-0.154,0.879,-0.062
6.012,-0.112,0.883,-0.054
6.013,-0.095,0.881,-0.073
6.014,-0.071,0.895,-0.081
6.015,-0.058,0.908,-0.086
6.015,-0.061,0.935,-0.110
6.016,-0.069,0.951,-0.123
6.017,-0.075,0.960,-0.121
6.018,-0.083,0.968,-0.126
6.018,-0.114,0.965,-0.109
6.019,-0.129,0.955,-0.096
6.020,0.021,0.973,-0.232
6.020,0.019,0.966,-0.219
6.212,0.010,0.965,-0.238
6.213,-0.001,0.954,-0.236
6.214,-0.004,0.957,-0.231
6.215,-0.005,0.955,-0.238
6.216,-0.017,0.956,-0.237
6.217,-0.016,0.940,-0.235
6.218,-0.018,0.946,-0.250
6.219,-0.040,0.935,-0.243
6.220,-0.037,0.941,-0.218
6.221,-0.017,0.944,-0.213
6.222,-0.022,0.948,-0.199
6.223,-0.023,0.947,-0.194
6.224,-0.053,0.924,-0.196
6.226,-0.046,0.934,-0.191
6.227,-0.050,0.945,-0.191
6.228,-0.046,0.951,-0.188
6.272,-0.043,0.957,-0.182
6.272,-0.037,0.965,-0.184
6.273,-0.034,0.968,-0.187
6.273,-0.029,0.969,-0.194
6.274,-0.033,0.958,-0.184
6.275,-0.033,0.954,-0.179
6.275,-0.036,0.952,-0.186
6.276,-0.037,0.950,-0.186
6.277,-0.042,0.960,-0.187
6.298,-0.039,0.967,-0.185
6.299,-0.045,0.980,-0.200
6.299,-0.048,0.995,-0.192
6.300,-0.048,1.009,-0.191
6.307,-0.048,1.022,-0.195
6.307,-0.050,1.034,-0.185
6.312,-0.049,1.048,-0.188
6.316,-0.053,1.057,-0.182
6.544,-0.049,1.066,-0.184
6.546,-0.042,1.073,-0.158
6.547,-0.040,1.072,-0.149
6.547,-0.032,1.066,-0.135
6.548,-0.024,1.070,-0.125
6.549,-0.016,1.075,-0.118
6.549,-0.001,1.072,-0.117
6.550,0.002,1.067,-0.116
6.551,0.013,1.066,-0.125
6.552,0.036,1.063,-0.122
6.552,0.039,1.047,-0.118
6.553,0.048,1.035,-0.113
6.554,0.034,1.032,0.093
6.555,0.035,1.025,0.082
6.555,0.023,1.013,0.060
6.829,0.020,1.010,0.043
6.830,0.014,1.002,0.031
6.831,0.009,1.009,0.024
6.832,0.011,1.009,0.032
6.832,0.019,1.005,0.039
6.833,0.030,0.997,0.042
6.833,0.026,0.996,0.035
6.834,0.033,0.999,0.030
6.835,0.039,1.011,0.053
6.964,0.049,1.007,0.074
6.965,0.051,1.007,0.088
6.965,0.052,1.001,0.087
6.966,0.062,0.996,0.021
6.967,0.060,1.005,0.030
6.968,0.069,1.002,0.051
6.969,0.064,1.000,0.062
6.970,0.064,1.000,0.076
6.970,0.062,0.997,0.093
6.971,0.061,0.993,0.111
6.972,0.056,0.992,0.117
6.972,0.051,0.986,0.122
6.973,0.025,0.968,0.102
6.974,0.028,0.964,0.111
7.042,0.033,0.971,0.106
7.044,0.031,0.988,0.109
7.044,0.031,1.001,0.106
7.045,0.028,1.007,0.112
7.046,0.024,1.014,0.112
7.047,0.033,1.020,0.106
7.048,0.045,1.028,0.090
7.048,0.051,1.024,0.086
7.049,0.058,1.025,0.082
7.050,0.069,1.020,0.088
7.050,0.065,1.015,0.082
7.051,0.064,1.015,0.085
7.052,0.077,1.011,0.083
7.052,0.063,1.003,0.074
7.053,0.060,0.997,0.084
7.217,0.059,1.002,0.087
7.218,0.053,0.994,0.077
7.219,0.048,0.990,0.073
7.220,0.043,0.984,0.070
7.220,0.034,0.984,0.069
7.221,0.041,0.982,0.060
7.221,0.040,0.984,0.055
7.222,0.033,0.981,0.054
7.223,0.038,0.976,0.059
7.223,0.044,0.979,0.052
7.224,0.049,0.985,0.064
7.225,0.049,0.988,0.060
7.226,0.040,0.996,0.085
7.226,0.045,0.995,0.089
7.633,0.048,1.006,0.080
7.634,0.049,1.002,0.083
7.635,0.047,1.002,0.084
7.636,0.053,1.001,0.086
7.637,0.053,1.002,0.088
7.638,0.053,0.996,0.093
7.639,0.050,0.995,0.096
7.640,0.050,0.997,0.095
7.642,0.056,0.995,0.093
7.643,0.039,0.995,0.095
