time,x,y,z
5.006,-0.021,1.006,-0.136
5.007,-0.026,1.009,-0.124
5.008,-0.025,1.010,-0.122
5.008,-0.003,1.010,-0.119
5.009,-0.008,1.007,-0.116
5.010,-0.008,1.001,-0.108
5.010,-0.010,0.992,-0.103
5.011,-0.005,0.980,-0.093
5.011,-0.007,0.976,-0.086
5.012,-0.002,0.976,-0.084
5.013,-0.003,0.973,-0.071
5.013,-0.018,0.970,-0.058
5.014,0.004,0.984,-0.027
5.015,-0.002,0.989,-0.036
5.016,-0.003,0.986,-0.044
5.020,-0.009,0.984,-0.033
5.025,-0.016,0.990,-0.027
5.030,-0.018,0.986,-0.022
5.035,-0.026,0.987,-0.017
5.040,-0.031,0.981,-0.004
5.044,-0.048,0.976,-0.011
5.050,-0.058,0.976,-0.011
5.055,-0.057,0.982,-0.017
5.060,-0.063,0.980,-0.021
5.065,-0.064,0.985,-0.032
5.070,-0.070,0.989,-0.037
5.075,-0.064,0.989,-0.038
5.080,-0.060,0.985,-0.044
5.085,-0.054,0.982,-0.028
5.090,-0.050,0.984,-0.038
5.095,-0.048,0.978,-0.020
5.100,-0.052,0.980,-0.019
5.105,-0.051,0.979,-0.019
5.110,-0.056,0.977,-0.021
5.115,-0.058,0.976,-0.031
5.255,-0.065,0.973,-0.026
5.256,-0.071,0.976,-0.029
5.257,-0.074,0.971,-0.018
5.258,-0.077,0.974,-0.015
5.258,-0.074,0.962,-0.004
5.259,-0.074,0.966,0.000
5.260,-0.074,0.958,-0.005
5.261,-0.068,0.957,-0.016
5.262,-0.070,0.950,-0.015
5.262,-0.064,0.938,-0.023
5.263,-0.053,0.938,-0.021
5.264,-0.055,0.935,-0.009
5.265,0.027,1.057,-0.023
5.266,0.033,1.062,-0.029
5.267,0.037,1.076,-0.017
5.278,0.040,1.073,-0.023
5.279,0.038,1.066,-0.032
5.281,0.038,1.055,-0.041
5.286,0.033,1.051,-0.041
5.292,0.028,1.036,-0.034
5.296,0.027,1.030,-0.042
5.302,0.036,1.021,-0.034
5.307,0.036,1.016,-0.020
5.312,0.037,1.007,-0.007
5.317,0.034,1.002,-0.001
5.322,0.034,1.000,0.006
5.327,0.032,0.987,0.009
5.332,0.031,0.990,0.007
5.337,0.027,0.985,0.010
5.342,0.030,0.974,0.013
5.348,0.020,0.970,0.004
5.352,0.014,0.968,0.009
5.357,0.013,0.961,0.005
5.363,0.015,0.963,0.009
5.367,0.009,0.964,0.012
5.372,0.013,0.974,0.012
5.378,0.004,0.981,0.016
5.382,0.005,0.981,0.008
5.388,0.002,0.997,0.015
5.392,0.005,1.003,0.018
5.398,-0.007,1.013,0.007
5.402,-0.005,1.018,0.010
5.408,-0.008,1.018,0.009
5.413,0.004,1.026,0.012
5.417,-0.003,1.023,0.017
5.423,0.007,1.024,0.026
5.431,0.000,1.012,0.014
5.433,0.002,1.002,0.025
5.438,0.003,0.996,0.017
5.443,0.008,0.993,0.010
5.448,0.006,0.987,0.003
5.453,0.002,0.980,0.006
5.459,0.013,0.982,0.011
5.468,0.012,0.990,0.017
5.470,0.019,0.992,0.025
5.479,0.017,0.991,0.049
5.481,0.024,0.991,0.050
5.501,0.018,0.991,0.052
5.502,0.023,0.985,0.056
5.503,0.022,0.985,0.066
5.504,0.022,0.977,0.046
5.504,0.013,0.974,0.046
5.508,0.012,0.980,0.035
5.513,0.014,0.980,0.028
5.518,0.013,0.983,0.030
5.523,0.008,0.983,0.022
5.738,0.003,0.983,0.029
5.740,0.002,0.986,0.032
5.742,-0.003,0.990,0.032
5.743,0.003,0.991,0.034
5.745,0.005,0.992,0.026
5.747,0.010,0.996,0.025
5.748,0.012,1.002,0.014
5.750,0.013,1.000,0.019
5.752,0.018,0.994,0.021
5.753,0.023,0.994,0.017
5.755,0.015,0.994,0.031
5.756,0.009,0.996,0.027
5.758,-0.018,0.984,0.039
5.760,-0.026,0.985,0.045
5.762,-0.028,0.987,0.043
5.763,-0.024,0.984,0.039
5.766,-0.024,0.984,0.047
5.767,-0.021,0.990,0.061
5.786,-0.023,0.985,0.048
5.786,-0.019,0.987,0.042
5.787,-0.020,0.997,0.038
5.789,-0.020,0.996,0.034
5.790,-0.021,1.002,0.041
5.795,-0.015,1.002,0.027
5.800,-0.022,0.999,0.033
5.807,-0.018,0.993,0.045
5.810,-0.017,0.996,0.035
5.815,-0.018,0.988,0.045
5.820,-0.018,0.989,0.051
5.825,-0.022,0.983,0.046
5.830,-0.016,0.993,0.044
5.835,-0.008,0.992,0.044
5.840,-0.009,0.991,0.039
5.845,-0.010,0.998,0.035
6.016,-0.015,0.995,0.039
6.016,-0.011,0.996,0.036
6.017,-0.012,0.998,0.052
6.018,-0.006,0.995,0.053
6.019,-0.007,0.994,0.057
6.019,-0.016,0.997,0.061
6.020,-0.018,1.000,0.063
6.021,-0.023,0.993,0.060
6.022,-0.029,0.993,0.059
6.022,-0.033,0.990,0.059
6.023,-0.040,0.981,0.064
6.024,-0.041,0.986,0.055
6.025,-0.011,0.981,0.059
6.026,-0.020,0.979,0.061
6.027,-0.018,0.989,0.058
6.037,-0.029,0.986,0.057
6.038,-0.025,0.985,0.052
6.043,-0.021,0.992,0.053
6.047,-0.029,0.988,0.053
6.052,-0.028,0.987,0.050
6.057,-0.029,0.989,0.054
6.062,-0.026,0.991,0.063
6.067,-0.025,0.988,0.051
6.072,-0.018,0.993,0.058
6.077,-0.007,0.988,0.050
6.082,-0.003,0.995,0.045
6.087,-0.004,0.993,0.043
6.092,-0.005,0.994,0.040
6.097,-0.007,0.989,0.050
6.102,-0.011,0.993,0.054
6.107,-0.017,0.985,0.051
6.112,-0.015,0.988,0.044
6.117,-0.020,0.987,0.039
6.122,-0.019,0.980,0.040
6.128,-0.020,0.983,0.048
6.132,-0.024,0.980,0.042
6.138,-0.026,0.985,0.047
6.143,-0.022,0.980,0.048
6.148,-0.024,0.983,0.054
6.153,-0.019,0.982,0.050
6.158,-0.022,0.992,0.057
6.163,-0.024,0.988,0.056
6.168,-0.021,0.989,0.060
6.173,-0.024,0.998,0.051
6.178,-0.027,0.997,0.061
6.183,-0.027,0.995,0.064
6.188,-0.036,0.996,0.059
6.193,-0.034,0.993,0.058
6.199,-0.039,0.992,0.049
6.204,-0.045,0.995,0.059
6.209,-0.038,0.994,0.057
6.214,-0.044,0.993,0.054
6.219,-0.047,0.987,0.058
6.225,-0.049,0.991,0.053
6.229,-0.051,0.987,0.047
6.234,-0.051,0.990,0.056
6.239,-0.052,0.985,0.047
6.244,-0.052,0.987,0.045
6.249,-0.053,0.984,0.048
6.254,-0.052,0.987,0.051
6.259,-0.050,0.986,0.047
6.264,-0.047,0.994,0.056
6.499,-0.044,1.000,0.062
6.501,-0.051,0.989,0.071
6.504,-0.054,0.990,0.058
6.505,-0.050,0.991,0.063
6.507,-0.050,0.990,0.066
6.508,-0.033,0.978,0.072
6.510,-0.040,0.990,0.068
6.511,-0.047,0.988,0.056
6.512,-0.041,0.988,0.036
6.514,-0.037,0.987,0.043
6.515,-0.028,0.991,0.039
6.517,-0.037,0.996,0.045
6.518,0.001,0.986,0.039
6.524,0.005,0.988,0.036
6.526,-0.003,0.991,0.035
6.527,-0.004,0.989,0.031
6.528,-0.012,0.997,0.035
6.530,-0.010,0.992,0.045
6.531,-0.008,0.993,0.044
6.539,-0.010,0.993,0.049
6.540,-0.009,0.985,0.045
6.545,-0.015,0.990,0.046
6.550,-0.016,0.992,0.045
6.555,-0.018,0.991,0.042
6.560,-0.014,0.986,0.041
6.565,-0.015,0.993,0.044
6.571,-0.013,0.992,0.049
6.576,-0.013,0.993,0.047
6.580,-0.019,0.990,0.054
6.586,-0.017,0.993,0.058
6.591,-0.024,0.987,0.056
6.596,-0.020,0.993,0.049
6.601,-0.027,0.996,0.056
6.606,-0.028,0.986,0.059
6.611,-0.030,0.986,0.055
6.616,-0.029,0.983,0.057
6.621,-0.030,0.982,0.052
6.626,-0.027,0.979,0.045
6.821,-0.024,0.982,0.047
6.823,-0.026,0.985,0.044
6.825,-0.029,0.991,0.034
6.828,-0.023,0.995,0.043
6.838,-0.023,0.990,0.042
6.839,-0.016,0.992,0.046
6.840,-0.013,0.995,0.048
6.840,-0.009,0.998,0.038
6.841,-0.014,0.998,0.038
6.842,-0.003,1.000,0.040
6.842,-0.008,0.993,0.026
6.843,-0.007,0.996,0.038
6.844,-0.021,0.992,0.048
6.844,-0.016,0.995,0.045
6.845,-0.019,0.996,0.049
6.845,-0.020,0.989,0.052
6.846,-0.022,0.986,0.047
6.856,-0.015,0.993,0.053
6.857,-0.011,0.991,0.053
6.858,-0.014,0.995,0.060
6.863,-0.019,0.990,0.061
6.868,-0.018,0.987,0.068
6.873,-0.015,0.987,0.068
6.878,-0.016,0.988,0.067
6.883,-0.015,0.989,0.066
6.888,-0.022,0.987,0.056
6.893,-0.027,0.991,0.068
6.898,-0.023,0.991,0.065
6.903,-0.027,0.990,0.058
6.908,-0.031,0.997,0.055
6.913,-0.029,0.992,0.061
6.918,-0.032,0.984,0.063
