time,x,y,z
5.013,0.127,0.954,-0.194
5.014,0.126,0.954,-0.204
5.015,0.121,0.956,-0.192
5.016,0.118,0.955,-0.195
5.016,0.121,0.960,-0.201
5.017,0.117,0.956,-0.187
5.021,0.118,0.956,-0.193
5.026,0.116,0.956,-0.186
5.080,0.114,0.950,-0.189
5.080,0.114,0.951,-0.189
5.081,0.115,0.955,-0.193
5.082,0.117,0.950,-0.191
5.082,0.116,0.951,-0.193
5.083,0.121,0.955,-0.195
5.084,0.118,0.959,-0.189
5.085,0.118,0.959,-0.194
5.085,0.116,0.964,-0.197
5.086,0.114,0.965,-0.188
5.087,0.112,0.967,-0.188
5.087,0.114,0.963,-0.192
5.093,0.112,0.967,-0.198
5.096,0.111,0.965,-0.200
5.101,0.114,0.965,-0.200
5.106,0.110,0.963,-0.190
5.111,0.114,0.958,-0.197
5.117,0.111,0.957,-0.199
5.121,0.112,0.952,-0.204
5.126,0.115,0.952,-0.200
5.132,0.121,0.950,-0.203
5.137,0.120,0.949,-0.206
5.142,0.116,0.952,-0.204
5.147,0.116,0.950,-0.212
5.152,0.116,0.959,-0.210
5.157,0.116,0.961,-0.207
5.286,0.109,0.958,-0.199
5.287,0.115,0.957,-0.199
5.289,0.111,0.963,-0.199
5.291,0.111,0.962,-0.199
5.292,0.103,0.965,-0.189
5.294,0.105,0.964,-0.198
5.296,0.106,0.960,-0.191
5.298,0.110,0.959,-0.193
5.299,0.113,0.954,-0.189
5.301,0.107,0.953,-0.202
5.302,0.109,0.951,-0.196
5.304,0.117,0.947,-0.203
5.306,0.111,0.956,-0.196
5.308,0.115,0.953,-0.198
5.309,0.115,0.954,-0.202
5.311,0.117,0.944,-0.205
5.313,0.126,0.949,-0.198
5.314,0.118,0.952,-0.196
5.336,0.113,0.949,-0.194
5.337,0.113,0.950,-0.190
5.337,0.114,0.952,-0.196
5.338,0.113,0.955,-0.201
5.339,0.109,0.953,-0.189
5.350,0.110,0.960,-0.193
5.351,0.106,0.966,-0.186
5.352,0.106,0.961,-0.195
5.358,0.107,0.960,-0.195
5.363,0.111,0.959,-0.200
5.368,0.113,0.959,-0.201
5.373,0.110,0.960,-0.203
5.378,0.117,0.955,-0.207
5.383,0.113,0.952,-0.205
5.389,0.119,0.953,-0.214
5.394,0.119,0.952,-0.208
5.698,0.122,0.951,-0.207
5.699,0.118,0.948,-0.207
5.700,0.115,0.950,-0.202
5.700,0.116,0.951,-0.201
5.701,0.119,0.954,-0.201
5.702,0.112,0.957,-0.202
5.702,0.115,0.957,-0.197
5.703,0.116,0.964,-0.202
5.704,0.118,0.963,-0.212
5.705,0.107,0.963,-0.206
5.707,0.106,0.964,-0.209
5.709,0.110,0.963,-0.210
5.710,0.123,0.953,-0.196
5.891,0.117,0.948,-0.202
5.892,0.119,0.951,-0.196
5.894,0.114,0.956,-0.201
5.896,0.121,0.952,-0.196
5.898,0.116,0.956,-0.195
5.899,0.118,0.962,-0.202
5.901,0.124,0.961,-0.197
5.902,0.112,0.962,-0.196
5.904,0.119,0.955,-0.203
5.906,0.114,0.958,-0.205
5.907,0.115,0.953,-0.201
5.909,0.114,0.952,-0.213
5.911,0.115,0.958,-0.212
5.912,0.125,0.960,-0.209
5.914,0.119,0.961,-0.203
5.916,0.117,0.960,-0.207
5.918,0.122,0.960,-0.205
5.919,0.117,0.957,-0.209
5.952,0.113,0.952,-0.207
5.953,0.119,0.955,-0.205
5.953,0.112,0.950,-0.202
5.954,0.122,0.953,-0.204
5.955,0.119,0.953,-0.202
5.956,0.115,0.951,-0.197
5.956,0.118,0.957,-0.204
5.957,0.117,0.951,-0.202
5.963,0.119,0.952,-0.211
5.967,0.118,0.951,-0.201
5.973,0.121,0.956,-0.210
5.977,0.122,0.958,-0.205
5.983,0.121,0.956,-0.214
5.990,0.119,0.955,-0.207
5.992,0.124,0.954,-0.206
6.000,0.116,0.966,-0.199
6.002,0.115,0.964,-0.202
6.011,0.118,0.964,-0.203
6.012,0.114,0.959,-0.209
6.021,0.116,0.964,-0.208
6.022,0.118,0.962,-0.206
6.031,0.121,0.959,-0.201
6.033,0.117,0.958,-0.198
6.044,0.113,0.951,-0.203
6.046,0.117,0.947,-0.207
6.048,0.119,0.946,-0.203
6.066,0.118,0.948,-0.200
6.068,0.119,0.944,-0.205
6.070,0.115,0.951,-0.202
6.072,0.123,0.956,-0.205
6.073,0.116,0.959,-0.198
6.092,0.111,0.961,-0.204
6.092,0.116,0.964,-0.205
6.093,0.113,0.973,-0.206
6.094,0.112,0.968,-0.200
6.226,0.114,0.967,-0.195
6.227,0.116,0.963,-0.198
6.228,0.113,0.959,-0.197
6.229,0.122,0.961,-0.191
6.229,0.124,0.952,-0.199
6.230,0.122,0.949,-0.204
6.231,0.119,0.951,-0.204
6.231,0.120,0.955,-0.203
