time,x,y,z
5.026,0.993,0.092,-0.051
5.027,0.976,0.084,-0.055
5.028,0.982,0.075,-0.067
5.030,0.969,0.061,-0.070
5.031,0.968,0.042,-0.087
5.032,0.947,0.029,-0.081
5.033,0.947,0.023,-0.090
5.034,0.955,0.009,-0.086
5.035,0.952,0.000,-0.084
5.037,0.964,-0.016,-0.061
5.038,0.970,-0.026,-0.060
5.039,1.000,-0.030,-0.068
5.040,1.059,-0.166,-0.073
5.042,1.047,-0.153,-0.105
5.043,1.043,-0.156,-0.112
5.044,1.032,-0.164,-0.109
5.049,1.008,-0.176,-0.111
5.052,1.007,-0.192,-0.115
5.057,0.993,-0.211,-0.122
5.062,0.977,-0.237,-0.120
5.067,0.965,-0.251,-0.115
5.072,0.953,-0.260,-0.104
5.077,0.944,-0.273,-0.112
5.083,0.924,-0.276,-0.121
5.088,0.914,-0.285,-0.122
5.093,0.934,-0.282,-0.128
5.098,0.930,-0.267,-0.142
5.103,0.935,-0.256,-0.136
5.108,0.928,-0.248,-0.146
5.113,0.934,-0.243,-0.133
5.118,0.951,-0.237,-0.132
5.123,0.963,-0.226,-0.131
5.128,0.963,-0.228,-0.116
5.133,0.968,-0.227,-0.118
5.138,0.982,-0.218,-0.117
5.143,0.976,-0.208,-0.117
5.148,0.966,-0.211,-0.098
5.153,0.956,-0.219,-0.100
5.158,0.952,-0.231,-0.103
5.163,0.951,-0.248,-0.114
5.168,0.987,-0.282,-0.102
5.173,0.992,-0.296,-0.105
5.178,0.970,-0.320,-0.106
5.183,0.961,-0.337,-0.116
5.188,0.950,-0.337,-0.126
5.193,0.946,-0.340,-0.137
5.199,0.932,-0.343,-0.138
5.203,0.934,-0.339,-0.133
5.209,0.923,-0.318,-0.149
5.215,0.936,-0.302,-0.139
5.218,0.937,-0.291,-0.142
5.223,0.937,-0.280,-0.128
5.228,0.942,-0.276,-0.132
5.235,0.943,-0.282,-0.135
5.238,0.959,-0.291,-0.131
5.244,0.953,-0.303,-0.131
5.251,0.960,-0.319,-0.118
5.254,0.989,-0.339,-0.109
5.263,0.960,-0.348,-0.110
5.264,0.953,-0.354,-0.103
5.271,0.950,-0.362,-0.116
5.274,0.938,-0.371,-0.110
5.281,0.936,-0.359,-0.118
5.287,0.940,-0.357,-0.118
5.291,0.933,-0.356,-0.115
5.296,0.934,-0.345,-0.108
5.300,0.942,-0.340,-0.106
5.304,0.947,-0.332,-0.105
5.309,0.948,-0.325,-0.110
5.314,0.949,-0.325,-0.104
5.319,0.963,-0.320,-0.102
5.324,0.981,-0.319,-0.107
5.330,0.980,-0.316,-0.111
5.335,0.972,-0.311,-0.124
5.339,0.973,-0.299,-0.123
5.355,0.978,-0.286,-0.121
5.356,0.963,-0.284,-0.129
5.356,0.966,-0.271,-0.128
5.359,0.968,-0.258,-0.120
5.527,0.976,-0.246,-0.111
5.530,0.994,-0.231,-0.101
5.532,1.017,-0.222,-0.093
5.535,1.008,-0.217,-0.090
5.538,1.044,-0.195,-0.098
5.541,1.054,-0.192,-0.096
5.542,1.074,-0.172,-0.114
5.545,1.076,-0.162,-0.113
5.548,1.070,-0.155,-0.112
5.551,1.071,-0.147,-0.115
