time,x,y,z
5.139,-0.251,0.950,0.028
5.141,-0.256,0.954,0.025
5.143,-0.249,0.954,0.033
5.145,-0.246,0.947,0.026
5.146,-0.244,0.946,0.028
5.148,-0.228,0.945,0.023
5.150,-0.230,0.950,0.025
5.151,-0.229,0.954,0.025
5.153,-0.224,0.949,0.028
5.154,-0.223,0.950,0.027
5.156,-0.225,0.956,0.028
5.158,-0.232,0.950,0.020
5.159,-0.242,0.964,0.003
5.161,-0.249,0.964,0.005
5.162,-0.252,0.961,0.014
5.164,-0.251,0.960,0.007
5.165,-0.253,0.956,0.019
5.167,-0.249,0.957,0.017
5.178,-0.246,0.957,0.035
5.179,-0.244,0.953,0.037
5.179,-0.237,0.957,0.030
5.184,-0.241,0.953,0.034
5.190,-0.241,0.945,0.019
5.194,-0.240,0.944,0.010
5.200,-0.242,0.941,0.016
5.205,-0.233,0.942,0.009
5.210,-0.238,0.936,0.019
5.215,-0.241,0.943,0.026
5.220,-0.238,0.944,0.018
5.225,-0.235,0.950,0.016
5.230,-0.230,0.959,0.026
5.235,-0.234,0.965,0.020
5.240,-0.227,0.974,0.023
5.245,-0.223,0.976,0.023
5.250,-0.223,0.975,0.034
5.255,-0.219,0.978,0.027
5.260,-0.219,0.981,0.022
5.265,-0.216,0.983,0.022
5.270,-0.216,0.978,0.010
5.275,-0.220,0.978,0.020
5.280,-0.221,0.974,0.029
5.285,-0.222,0.967,0.033
5.290,-0.219,0.964,0.034
5.296,-0.224,0.961,0.031
5.300,-0.225,0.947,0.038
5.307,-0.228,0.950,0.030
5.311,-0.229,0.944,0.032
5.319,-0.234,0.941,0.030
5.323,-0.238,0.937,0.024
5.326,-0.238,0.932,0.018
5.331,-0.239,0.935,0.018
5.336,-0.241,0.931,0.024
5.341,-0.242,0.940,0.020
5.350,-0.248,0.944,0.017
5.351,-0.242,0.939,0.020
5.358,-0.235,0.943,0.030
5.361,-0.247,0.948,0.027
5.366,-0.242,0.948,0.025
5.371,-0.252,0.958,0.023
5.519,-0.245,0.966,0.023
