time,x,y,z
5.036,-0.145,0.972,0.133
5.037,-0.148,0.968,0.126
5.038,-0.151,0.972,0.123
5.039,-0.149,0.979,0.123
5.039,-0.151,0.970,0.130
5.040,-0.146,0.974,0.127
5.041,-0.146,0.975,0.130
5.041,-0.141,0.971,0.130
5.042,-0.141,0.970,0.128
5.043,-0.147,0.973,0.133
5.043,-0.144,0.970,0.139
5.044,-0.142,0.972,0.134
5.045,-0.150,0.968,0.127
5.045,-0.144,0.974,0.127
5.056,-0.146,0.971,0.131
5.057,-0.151,0.967,0.133
5.058,-0.153,0.970,0.138
5.063,-0.148,0.970,0.140
5.068,-0.151,0.969,0.139
5.073,-0.161,0.966,0.144
5.078,-0.157,0.971,0.136
5.083,-0.153,0.979,0.132
5.088,-0.152,0.971,0.135
5.093,-0.148,0.976,0.127
5.098,-0.151,0.978,0.124
5.103,-0.149,0.972,0.124
5.108,-0.150,0.970,0.124
5.113,-0.149,0.971,0.132
5.118,-0.142,0.969,0.131
5.123,-0.137,0.973,0.131
5.129,-0.145,0.970,0.129
5.134,-0.143,0.974,0.132
5.139,-0.147,0.971,0.131
5.144,-0.137,0.972,0.130
5.149,-0.149,0.972,0.131
5.154,-0.149,0.972,0.138
5.159,-0.152,0.968,0.140
5.164,-0.143,0.963,0.142
5.169,-0.143,0.966,0.139
5.174,-0.145,0.966,0.134
5.179,-0.146,0.971,0.140
5.184,-0.141,0.968,0.130
5.191,-0.145,0.970,0.136
5.194,-0.146,0.974,0.136
5.199,-0.143,0.973,0.134
5.204,-0.140,0.979,0.125
5.209,-0.149,0.971,0.130
5.214,-0.151,0.969,0.131
5.219,-0.148,0.981,0.135
5.226,-0.148,0.976,0.132
5.231,-0.153,0.972,0.129
5.236,-0.144,0.971,0.132
5.240,-0.142,0.977,0.135
5.245,-0.144,0.973,0.136
5.500,-0.142,0.970,0.133
5.502,-0.144,0.973,0.128
5.504,-0.143,0.972,0.127
5.506,-0.139,0.968,0.132
5.507,-0.141,0.972,0.137
5.509,-0.140,0.973,0.133
5.511,-0.144,0.970,0.131
5.513,-0.136,0.971,0.136
5.515,-0.138,0.973,0.138
5.517,-0.147,0.968,0.144
5.518,-0.145,0.970,0.141
5.520,-0.145,0.974,0.142
5.522,-0.145,0.973,0.135
5.524,-0.143,0.969,0.129
5.526,-0.139,0.972,0.134
5.528,-0.141,0.971,0.129
5.528,-0.136,0.974,0.121
5.529,-0.141,0.977,0.130
5.535,-0.143,0.973,0.135
5.536,-0.144,0.977,0.137
5.541,-0.144,0.973,0.133
5.547,-0.148,0.976,0.134
5.552,-0.148,0.972,0.128
5.557,-0.145,0.973,0.141
5.562,-0.145,0.970,0.141
5.567,-0.145,0.971,0.136
5.572,-0.148,0.972,0.131
5.577,-0.150,0.971,0.134
5.582,-0.147,0.972,0.132
5.587,-0.151,0.973,0.137
5.592,-0.146,0.969,0.122
5.597,-0.149,0.966,0.136
5.602,-0.149,0.969,0.128
5.607,-0.150,0.972,0.135
5.612,-0.145,0.974,0.131
5.619,-0.142,0.976,0.134
5.622,-0.140,0.977,0.126
5.629,-0.148,0.970,0.137
5.634,-0.147,0.976,0.130
5.639,-0.148,0.974,0.132
5.642,-0.145,0.973,0.127
5.648,-0.143,0.971,0.130
5.653,-0.152,0.972,0.128
5.658,-0.144,0.971,0.129
5.662,-0.138,0.969,0.136
5.667,-0.136,0.972,0.131
5.775,-0.143,0.970,0.135
5.778,-0.139,0.977,0.138
5.780,-0.139,0.975,0.140
5.782,-0.142,0.977,0.137
5.784,-0.139,0.973,0.138
5.786,-0.146,0.971,0.141
5.788,-0.149,0.969,0.136
5.790,-0.149,0.973,0.132
5.792,-0.148,0.971,0.129
5.794,-0.150,0.974,0.137
5.796,-0.152,0.973,0.133
5.799,-0.152,0.968,0.132
5.801,-0.148,0.975,0.129
5.803,-0.143,0.976,0.134
5.804,-0.144,0.971,0.137
5.806,-0.143,0.967,0.147
5.808,-0.145,0.971,0.143
5.810,-0.145,0.968,0.143
5.812,-0.146,0.969,0.139
5.814,-0.137,0.968,0.140
5.840,-0.139,0.970,0.140
5.841,-0.146,0.969,0.137
5.842,-0.147,0.973,0.129
5.843,-0.149,0.973,0.133
5.843,-0.153,0.978,0.134
5.844,-0.145,0.979,0.130
5.849,-0.149,0.972,0.127
5.854,-0.147,0.974,0.134
5.859,-0.147,0.976,0.131
5.864,-0.142,0.976,0.128
5.869,-0.149,0.970,0.138
5.874,-0.145,0.969,0.140
5.879,-0.144,0.972,0.135
5.884,-0.147,0.971,0.139
5.889,-0.148,0.974,0.136
5.894,-0.141,0.967,0.134
5.899,-0.141,0.969,0.139
5.904,-0.146,0.969,0.137
5.909,-0.144,0.966,0.132
5.932,-0.145,0.968,0.135
5.933,-0.147,0.966,0.131
5.934,-0.143,0.970,0.148
5.935,-0.147,0.969,0.139
5.936,-0.145,0.966,0.135
5.940,-0.141,0.974,0.141
5.945,-0.142,0.975,0.138
5.950,-0.144,0.973,0.136
5.955,-0.143,0.976,0.132
5.960,-0.143,0.979,0.137
5.965,-0.147,0.975,0.131
5.970,-0.149,0.973,0.139
5.974,-0.151,0.974,0.135
5.980,-0.148,0.972,0.133
5.986,-0.153,0.970,0.138
6.122,-0.151,0.974,0.133
6.124,-0.148,0.973,0.133
6.126,-0.147,0.973,0.140
6.128,-0.145,0.970,0.135
6.129,-0.144,0.969,0.139
6.129,-0.144,0.969,0.135
6.130,-0.143,0.971,0.142
6.131,-0.142,0.972,0.139
6.131,-0.138,0.975,0.135
6.132,-0.143,0.972,0.137
6.133,-0.142,0.975,0.134
6.133,-0.144,0.978,0.129
6.134,-0.140,0.973,0.127
6.135,-0.142,0.971,0.129
6.135,-0.145,0.973,0.133
6.141,-0.146,0.969,0.121
6.146,-0.145,0.968,0.132
6.151,-0.144,0.970,0.135
6.156,-0.142,0.968,0.133
6.161,-0.148,0.967,0.136
6.166,-0.144,0.969,0.133
6.171,-0.140,0.968,0.137
6.176,-0.142,0.971,0.141
6.181,-0.141,0.975,0.139
6.186,-0.140,0.969,0.130
6.191,-0.138,0.967,0.136
6.196,-0.143,0.972,0.126
6.201,-0.145,0.976,0.133
6.206,-0.137,0.974,0.132
6.211,-0.143,0.970,0.140
6.216,-0.144,0.973,0.135
6.222,-0.149,0.975,0.124
6.227,-0.142,0.973,0.138
6.232,-0.143,0.977,0.126
6.237,-0.152,0.976,0.135
6.242,-0.141,0.975,0.130
6.247,-0.139,0.973,0.131
6.252,-0.144,0.975,0.132
6.257,-0.146,0.971,0.124
6.262,-0.144,0.974,0.143
6.268,-0.147,0.973,0.137
6.272,-0.140,0.975,0.132
6.278,-0.146,0.966,0.132
6.283,-0.140,0.970,0.137
6.288,-0.148,0.972,0.139
6.293,-0.143,0.973,0.130
6.489,-0.144,0.968,0.131
6.490,-0.149,0.973,0.131
6.490,-0.144,0.972,0.141
6.491,-0.140,0.975,0.128
6.492,-0.143,0.972,0.141
6.492,-0.139,0.970,0.133
6.493,-0.139,0.974,0.134
6.494,-0.142,0.969,0.131
6.494,-0.148,0.974,0.137
6.495,-0.144,0.966,0.144
6.496,-0.139,0.974,0.138
6.496,-0.143,0.970,0.141
6.497,-0.150,0.973,0.137
6.498,-0.150,0.972,0.137
6.509,-0.152,0.974,0.137
6.509,-0.143,0.978,0.140
6.513,-0.153,0.975,0.140
6.518,-0.149,0.972,0.127
6.524,-0.151,0.968,0.136
6.529,-0.148,0.968,0.135
6.534,-0.150,0.965,0.147
6.539,-0.152,0.968,0.136
6.544,-0.147,0.969,0.139
6.549,-0.145,0.970,0.136
6.554,-0.142,0.969,0.136
6.559,-0.142,0.969,0.132
6.564,-0.141,0.972,0.130
6.569,-0.140,0.975,0.144
6.574,-0.142,0.970,0.128
6.579,-0.140,0.975,0.138
6.584,-0.146,0.971,0.139
6.592,-0.148,0.978,0.139
6.596,-0.148,0.972,0.142
6.601,-0.151,0.966,0.147
6.606,-0.145,0.967,0.142
6.611,-0.152,0.966,0.145
6.617,-0.148,0.970,0.145
6.621,-0.155,0.973,0.141
6.625,-0.150,0.973,0.146
6.631,-0.149,0.970,0.144
6.636,-0.144,0.970,0.139
6.641,-0.146,0.968,0.139
6.646,-0.145,0.972,0.138
6.651,-0.146,0.977,0.129
6.656,-0.140,0.968,0.137
6.661,-0.143,0.969,0.132
6.666,-0.147,0.970,0.134
6.671,-0.145,0.969,0.136
6.915,-0.147,0.969,0.144
6.917,-0.145,0.976,0.140
6.919,-0.150,0.974,0.136
6.921,-0.148,0.972,0.135
6.922,-0.147,0.971,0.137
6.924,-0.151,0.971,0.135
6.926,-0.146,0.969,0.133
6.928,-0.147,0.965,0.142
6.929,-0.152,0.967,0.136
6.929,-0.150,0.973,0.139
6.930,-0.148,0.970,0.136
6.931,-0.141,0.969,0.145
6.931,-0.149,0.977,0.124
6.932,-0.149,0.974,0.127
6.933,-0.150,0.974,0.130
6.933,-0.146,0.976,0.132
6.938,-0.144,0.970,0.135
6.942,-0.141,0.969,0.133
6.947,-0.142,0.968,0.131
6.952,-0.139,0.966,0.135
6.957,-0.138,0.969,0.132
6.962,-0.133,0.966,0.142
6.967,-0.135,0.964,0.130
6.972,-0.135,0.975,0.139
6.977,-0.140,0.975,0.128
6.982,-0.141,0.968,0.132
6.987,-0.137,0.972,0.138
6.992,-0.138,0.975,0.129
6.997,-0.136,0.974,0.131
7.002,-0.147,0.974,0.129
7.009,-0.140,0.977,0.132
7.014,-0.147,0.970,0.141
7.019,-0.144,0.974,0.145
7.024,-0.153,0.969,0.139
7.029,-0.157,0.970,0.137
7.034,-0.154,0.973,0.142
7.040,-0.161,0.968,0.148
7.044,-0.158,0.966,0.147
7.054,-0.152,0.967,0.143
7.056,-0.150,0.971,0.151
7.058,-0.143,0.969,0.150
7.064,-0.143,0.970,0.138
7.069,-0.141,0.976,0.145
7.074,-0.143,0.969,0.141
7.079,-0.142,0.972,0.142
7.084,-0.140,0.976,0.145
7.090,-0.141,0.970,0.144
7.094,-0.143,0.977,0.136
7.099,-0.144,0.973,0.137
7.104,-0.142,0.971,0.138
7.109,-0.146,0.974,0.134
7.113,-0.144,0.970,0.135
7.237,-0.144,0.974,0.142
7.238,-0.145,0.971,0.146
7.239,-0.145,0.969,0.149
7.239,-0.146,0.972,0.131
7.240,-0.151,0.971,0.145
7.241,-0.154,0.968,0.135
7.241,-0.151,0.970,0.134
7.242,-0.149,0.972,0.134
7.243,-0.151,0.969,0.135
7.244,-0.148,0.968,0.139
7.244,-0.147,0.965,0.131
7.245,-0.148,0.967,0.138
7.245,-0.143,0.975,0.143
7.246,-0.138,0.971,0.132
7.257,-0.142,0.969,0.142
7.258,-0.142,0.967,0.140
7.258,-0.144,0.969,0.141
7.264,-0.146,0.978,0.138
7.269,-0.144,0.974,0.139
7.274,-0.140,0.973,0.135
7.279,-0.146,0.970,0.135
7.284,-0.142,0.970,0.137
7.289,-0.149,0.971,0.138
7.294,-0.147,0.978,0.132
7.299,-0.145,0.967,0.139
7.304,-0.142,0.973,0.138
7.310,-0.148,0.972,0.131
7.314,-0.146,0.969,0.134
7.319,-0.147,0.970,0.141
7.325,-0.144,0.970,0.137
7.330,-0.144,0.969,0.134
7.334,-0.148,0.965,0.138
7.339,-0.145,0.968,0.140
7.344,-0.141,0.976,0.141
7.349,-0.143,0.970,0.136
7.354,-0.141,0.971,0.132
7.360,-0.140,0.974,0.127
7.365,-0.142,0.972,0.128
7.369,-0.138,0.971,0.127
7.375,-0.140,0.973,0.137
7.385,-0.140,0.969,0.134
7.386,-0.140,0.972,0.140
7.613,-0.143,0.969,0.140
7.615,-0.142,0.975,0.138
7.617,-0.144,0.980,0.137
7.619,-0.143,0.970,0.126
7.621,-0.147,0.972,0.136
7.622,-0.144,0.970,0.134
7.624,-0.143,0.975,0.133
7.626,-0.147,0.973,0.132
7.628,-0.147,0.970,0.138
7.628,-0.146,0.976,0.147
7.629,-0.155,0.969,0.134
7.630,-0.148,0.972,0.136
7.631,-0.149,0.971,0.136
7.631,-0.143,0.969,0.140
7.632,-0.148,0.971,0.139
7.633,-0.143,0.971,0.136
7.637,-0.143,0.969,0.132
7.642,-0.143,0.971,0.136
7.647,-0.146,0.969,0.139
7.652,-0.147,0.970,0.146
7.657,-0.150,0.971,0.130
7.662,-0.146,0.965,0.138
7.667,-0.153,0.971,0.134
7.672,-0.151,0.964,0.136
7.677,-0.146,0.967,0.133
7.682,-0.155,0.968,0.141
7.687,-0.152,0.970,0.136
7.692,-0.146,0.967,0.135
7.697,-0.148,0.974,0.136
7.702,-0.149,0.973,0.138
7.707,-0.141,0.974,0.139
7.712,-0.150,0.966,0.140
7.717,-0.143,0.970,0.134
7.722,-0.141,0.974,0.140
7.727,-0.149,0.975,0.148
7.733,-0.151,0.976,0.137
7.738,-0.148,0.974,0.138
7.743,-0.152,0.974,0.138
7.748,-0.150,0.972,0.136
7.753,-0.150,0.972,0.143
7.758,-0.151,0.970,0.141
7.763,-0.154,0.973,0.141
7.768,-0.151,0.971,0.141
7.773,-0.161,0.971,0.148
7.779,-0.151,0.970,0.147
7.784,-0.157,0.966,0.141
7.791,-0.152,0.973,0.149
7.793,-0.155,0.967,0.146
7.800,-0.151,0.968,0.148
7.805,-0.153,0.972,0.146
7.809,-0.150,0.973,0.141
7.814,-0.148,0.974,0.140
7.819,-0.152,0.971,0.144
7.824,-0.143,0.970,0.141
7.832,-0.149,0.968,0.136
