time,x,y,z
5.003,-0.207,0.954,0.077
5.008,-0.209,0.954,0.081
5.013,-0.209,0.950,0.082
5.018,-0.211,0.952,0.082
5.023,-0.216,0.956,0.085
5.028,-0.221,0.955,0.083
5.033,-0.220,0.960,0.083
5.038,-0.218,0.965,0.083
5.043,-0.223,0.960,0.086
5.049,-0.219,0.967,0.094
5.054,-0.224,0.962,0.090
5.059,-0.224,0.961,0.083
5.064,-0.223,0.961,0.090
5.069,-0.230,0.959,0.093
5.074,-0.236,0.948,0.089
5.079,-0.232,0.950,0.096
5.084,-0.232,0.948,0.085
5.089,-0.230,0.955,0.088
5.094,-0.234,0.955,0.091
5.099,-0.229,0.956,0.090
5.104,-0.233,0.960,0.087
5.109,-0.230,0.962,0.107
5.114,-0.228,0.958,0.101
5.119,-0.233,0.959,0.100
5.124,-0.234,0.960,0.096
5.129,-0.233,0.954,0.088
5.134,-0.237,0.954,0.087
5.139,-0.240,0.957,0.090
5.144,-0.232,0.950,0.086
5.149,-0.239,0.950,0.084
5.156,-0.228,0.954,0.085
5.161,-0.231,0.959,0.091
5.166,-0.233,0.954,0.084
5.171,-0.220,0.962,0.089
5.176,-0.225,0.964,0.101
5.181,-0.217,0.961,0.100
5.186,-0.221,0.962,0.101
5.191,-0.220,0.962,0.096
5.196,-0.218,0.961,0.100
5.201,-0.220,0.963,0.089
5.206,-0.218,0.959,0.094
5.211,-0.224,0.960,0.090
5.216,-0.226,0.953,0.086
5.221,-0.224,0.948,0.090
5.226,-0.229,0.946,0.096
5.232,-0.230,0.954,0.094
5.236,-0.235,0.946,0.093
5.241,-0.233,0.952,0.082
5.246,-0.229,0.950,0.083
5.252,-0.230,0.956,0.077
5.257,-0.233,0.957,0.082
5.262,-0.229,0.954,0.085
5.267,-0.232,0.958,0.083
5.272,-0.231,0.959,0.097
5.277,-0.232,0.945,0.088
5.282,-0.224,0.950,0.076
5.287,-0.225,0.956,0.091
5.292,-0.233,0.952,0.085
5.297,-0.228,0.957,0.094
5.302,-0.234,0.950,0.094
5.307,-0.228,0.957,0.107
5.312,-0.236,0.961,0.102
5.555,-0.238,0.962,0.111
5.555,-0.243,0.954,0.104
5.556,-0.244,0.960,0.113
5.557,-0.249,0.957,0.110
5.558,-0.252,0.956,0.108
5.559,-0.244,0.956,0.100
5.560,-0.246,0.951,0.111
5.561,-0.246,0.953,0.102
5.562,-0.250,0.959,0.108
5.563,-0.244,0.954,0.101
5.564,-0.242,0.953,0.103
5.564,-0.241,0.953,0.092
5.565,-0.234,0.960,0.103
5.566,-0.229,0.954,0.101
5.567,-0.225,0.959,0.096
5.573,-0.228,0.956,0.092
5.577,-0.224,0.956,0.100
5.582,-0.217,0.956,0.097
5.587,-0.219,0.953,0.099
5.592,-0.223,0.951,0.102
5.597,-0.220,0.953,0.108
5.602,-0.227,0.957,0.107
5.607,-0.222,0.957,0.120
5.612,-0.226,0.955,0.119
5.617,-0.235,0.955,0.123
5.622,-0.232,0.947,0.126
5.628,-0.234,0.950,0.121
5.633,-0.235,0.951,0.112
5.638,-0.243,0.953,0.114
5.643,-0.245,0.953,0.119
5.648,-0.247,0.954,0.114
5.653,-0.242,0.954,0.111
5.658,-0.244,0.951,0.104
5.663,-0.240,0.952,0.102
5.668,-0.244,0.953,0.094
5.673,-0.241,0.957,0.102
5.678,-0.238,0.959,0.104
5.683,-0.239,0.961,0.100
5.688,-0.236,0.956,0.092
5.693,-0.242,0.960,0.089
5.698,-0.232,0.962,0.086
5.704,-0.225,0.961,0.087
5.709,-0.220,0.961,0.100
5.714,-0.221,0.957,0.103
5.719,-0.222,0.961,0.116
5.724,-0.225,0.957,0.115
5.729,-0.218,0.955,0.110
5.734,-0.228,0.957,0.107
5.739,-0.225,0.961,0.105
5.744,-0.230,0.958,0.100
5.749,-0.231,0.953,0.097
5.755,-0.235,0.961,0.097
5.759,-0.228,0.961,0.100
5.765,-0.227,0.958,0.097
5.769,-0.228,0.956,0.099
5.774,-0.226,0.961,0.094
5.779,-0.226,0.964,0.105
5.785,-0.228,0.960,0.098
5.790,-0.224,0.956,0.095
5.795,-0.214,0.956,0.096
5.800,-0.224,0.958,0.100
5.806,-0.221,0.956,0.093
5.810,-0.222,0.954,0.087
5.815,-0.217,0.960,0.093
5.820,-0.220,0.956,0.100
5.825,-0.226,0.957,0.103
5.831,-0.223,0.956,0.104
5.836,-0.224,0.954,0.102
5.841,-0.232,0.956,0.105
5.846,-0.237,0.956,0.107
5.851,-0.231,0.960,0.098
5.856,-0.233,0.962,0.103
5.861,-0.229,0.956,0.103
5.866,-0.237,0.957,0.100
5.871,-0.231,0.954,0.103
5.876,-0.231,0.956,0.101
5.881,-0.227,0.954,0.095
5.886,-0.229,0.954,0.100
5.891,-0.232,0.955,0.089
5.896,-0.227,0.958,0.097
5.901,-0.221,0.956,0.105
5.906,-0.222,0.957,0.100
5.911,-0.224,0.958,0.101
5.916,-0.223,0.952,0.104
5.921,-0.228,0.952,0.107
5.926,-0.226,0.958,0.115
5.931,-0.227,0.954,0.103
5.936,-0.226,0.958,0.097
5.941,-0.223,0.954,0.092
5.946,-0.230,0.964,0.106
5.951,-0.226,0.961,0.094
5.956,-0.224,0.961,0.095
5.962,-0.233,0.958,0.093
5.966,-0.229,0.959,0.104
5.972,-0.226,0.961,0.100
5.977,-0.236,0.959,0.104
5.982,-0.231,0.960,0.107
5.987,-0.235,0.956,0.114
5.992,-0.234,0.952,0.111
5.997,-0.237,0.956,0.111
6.231,-0.243,0.951,0.113
6.232,-0.238,0.948,0.108
6.233,-0.247,0.951,0.119
6.234,-0.243,0.947,0.110
6.235,-0.240,0.949,0.111
6.235,-0.243,0.955,0.117
6.236,-0.241,0.954,0.106
6.237,-0.246,0.954,0.106
6.238,-0.246,0.958,0.112
6.239,-0.240,0.958,0.113
6.240,-0.244,0.952,0.104
6.241,-0.243,0.952,0.107
6.242,-0.223,0.952,0.100
6.242,-0.219,0.952,0.096
6.243,-0.214,0.962,0.098
6.247,-0.209,0.963,0.096
6.252,-0.210,0.958,0.102
6.257,-0.206,0.960,0.106
6.262,-0.206,0.964,0.096
6.267,-0.203,0.964,0.108
6.272,-0.210,0.958,0.106
6.277,-0.208,0.962,0.098
6.282,-0.214,0.959,0.095
6.287,-0.217,0.962,0.098
6.292,-0.217,0.954,0.098
6.297,-0.216,0.968,0.105
6.302,-0.215,0.956,0.106
6.308,-0.223,0.963,0.108
6.313,-0.220,0.955,0.112
6.318,-0.222,0.957,0.112
6.323,-0.221,0.962,0.105
6.328,-0.222,0.960,0.093
6.333,-0.231,0.950,0.099
6.338,-0.232,0.956,0.097
6.343,-0.227,0.959,0.098
6.348,-0.232,0.956,0.102
6.353,-0.228,0.957,0.101
6.358,-0.228,0.952,0.101
6.363,-0.233,0.953,0.106
6.369,-0.228,0.952,0.106
6.374,-0.227,0.951,0.103
6.379,-0.228,0.957,0.101
6.384,-0.224,0.956,0.099
6.389,-0.225,0.956,0.107
6.394,-0.224,0.956,0.114
6.399,-0.225,0.961,0.113
6.404,-0.223,0.956,0.110
6.410,-0.226,0.960,0.106
6.415,-0.221,0.959,0.102
6.420,-0.225,0.958,0.114
6.425,-0.224,0.960,0.106
6.430,-0.223,0.961,0.103
6.435,-0.228,0.953,0.109
6.440,-0.237,0.958,0.106
6.445,-0.229,0.960,0.115
6.450,-0.228,0.956,0.106
6.456,-0.234,0.955,0.110
6.460,-0.226,0.957,0.110
6.465,-0.232,0.951,0.112
6.470,-0.230,0.954,0.101
6.475,-0.231,0.950,0.105
6.480,-0.227,0.952,0.104
6.485,-0.233,0.952,0.101
6.490,-0.231,0.955,0.103
6.496,-0.227,0.956,0.104
6.501,-0.228,0.954,0.109
6.506,-0.224,0.950,0.110
6.511,-0.226,0.954,0.095
6.516,-0.225,0.958,0.106
6.521,-0.228,0.956,0.104
6.526,-0.223,0.958,0.100
6.531,-0.220,0.953,0.108
6.536,-0.224,0.962,0.108
6.541,-0.219,0.959,0.104
6.546,-0.219,0.963,0.113
6.551,-0.223,0.954,0.105
6.556,-0.226,0.958,0.101
6.561,-0.226,0.959,0.107
6.564,-0.226,0.958,0.105
6.569,-0.226,0.953,0.093
6.574,-0.226,0.959,0.105
6.579,-0.228,0.956,0.102
6.584,-0.218,0.965,0.104
6.589,-0.226,0.965,0.104
6.594,-0.226,0.960,0.099
6.599,-0.231,0.958,0.105
6.604,-0.233,0.957,0.108
6.609,-0.230,0.956,0.112
6.614,-0.236,0.957,0.108
6.620,-0.236,0.957,0.103
6.625,-0.234,0.957,0.102
6.630,-0.227,0.960,0.106
6.635,-0.235,0.955,0.101
6.640,-0.229,0.954,0.110
6.645,-0.230,0.953,0.111
6.650,-0.230,0.954,0.112
6.655,-0.234,0.958,0.110
6.660,-0.229,0.955,0.105
6.665,-0.233,0.954,0.105
6.670,-0.229,0.959,0.110
6.807,-0.229,0.956,0.115
6.808,-0.227,0.955,0.114
6.808,-0.233,0.956,0.111
6.809,-0.231,0.957,0.108
6.810,-0.230,0.960,0.113
6.810,-0.234,0.955,0.109
6.811,-0.231,0.955,0.111
6.812,-0.231,0.956,0.107
6.813,-0.229,0.956,0.113
6.813,-0.222,0.950,0.109
6.814,-0.225,0.953,0.112
6.815,-0.226,0.954,0.106
6.815,-0.228,0.954,0.107
6.816,-0.227,0.947,0.114
6.821,-0.220,0.949,0.110
6.826,-0.227,0.953,0.102
6.832,-0.225,0.952,0.110
6.836,-0.223,0.954,0.121
6.841,-0.227,0.955,0.114
6.846,-0.230,0.954,0.122
6.851,-0.228,0.959,0.121
6.856,-0.227,0.957,0.109
6.861,-0.228,0.963,0.117
6.867,-0.234,0.957,0.126
6.872,-0.238,0.953,0.114
6.877,-0.233,0.954,0.114
6.881,-0.237,0.959,0.109
6.887,-0.237,0.956,0.111
6.892,-0.235,0.954,0.110
6.897,-0.226,0.952,0.106
6.902,-0.232,0.952,0.102
6.907,-0.231,0.952,0.106
6.912,-0.225,0.953,0.113
6.917,-0.231,0.964,0.110
6.922,-0.232,0.958,0.116
6.927,-0.235,0.955,0.111
6.932,-0.236,0.963,0.118
6.937,-0.228,0.956,0.111
6.942,-0.239,0.952,0.114
6.947,-0.241,0.950,0.109
6.952,-0.233,0.954,0.114
6.958,-0.238,0.950,0.112
6.963,-0.238,0.952,0.114
6.968,-0.237,0.955,0.109
6.973,-0.232,0.953,0.103
6.978,-0.227,0.958,0.105
6.983,-0.228,0.960,0.100
6.988,-0.232,0.961,0.106
6.993,-0.225,0.963,0.099
6.998,-0.224,0.958,0.097
7.004,-0.230,0.956,0.097
7.008,-0.227,0.954,0.102
7.013,-0.228,0.958,0.099
7.018,-0.235,0.956,0.108
7.023,-0.233,0.951,0.101
7.028,-0.233,0.946,0.101
7.033,-0.227,0.953,0.110
7.038,-0.228,0.952,0.112
7.043,-0.230,0.952,0.109
7.049,-0.232,0.951,0.113
7.055,-0.230,0.952,0.108
7.060,-0.227,0.949,0.106
7.065,-0.229,0.952,0.099
7.070,-0.221,0.957,0.107
7.079,-0.218,0.958,0.113
7.090,-0.223,0.963,0.108
7.092,-0.221,0.963,0.091
7.098,-0.222,0.958,0.091
7.101,-0.226,0.963,0.097
7.105,-0.226,0.959,0.096
7.107,-0.230,0.964,0.099
7.109,-0.231,0.958,0.096
7.113,-0.231,0.955,0.100
7.118,-0.239,0.961,0.106
7.123,-0.240,0.952,0.107
7.128,-0.235,0.959,0.113
7.133,-0.230,0.954,0.108
7.138,-0.233,0.952,0.107
7.143,-0.232,0.953,0.094
7.149,-0.236,0.954,0.102
7.154,-0.235,0.955,0.100
7.159,-0.228,0.957,0.094
7.164,-0.223,0.953,0.104
7.169,-0.224,0.953,0.105
7.174,-0.226,0.952,0.100
7.179,-0.228,0.955,0.100
7.184,-0.227,0.958,0.095
7.189,-0.231,0.954,0.104
7.194,-0.238,0.953,0.104
7.199,-0.231,0.954,0.107
7.204,-0.235,0.959,0.098
7.209,-0.240,0.958,0.104
7.214,-0.233,0.956,0.102
7.219,-0.237,0.958,0.102
7.224,-0.229,0.959,0.101
7.229,-0.235,0.959,0.102
7.234,-0.229,0.951,0.108
7.239,-0.236,0.955,0.107
7.244,-0.239,0.954,0.100
7.249,-0.230,0.956,0.099
7.418,-0.233,0.960,0.098
