time,x,y,z
5.055,-0.014,0.985,0.136
5.057,-0.016,0.985,0.138
5.059,-0.014,0.984,0.125
5.060,-0.010,0.989,0.139
5.062,-0.010,0.985,0.141
5.063,-0.010,0.987,0.145
5.065,-0.008,0.984,0.141
5.067,-0.004,0.986,0.140
5.068,0.004,0.979,0.135
5.070,-0.007,0.977,0.132
5.072,-0.005,0.987,0.133
5.073,-0.008,0.986,0.131
5.075,0.001,0.986,0.133
5.076,0.007,0.980,0.145
5.076,0.005,0.980,0.140
5.077,0.004,0.983,0.139
5.081,0.011,0.983,0.141
5.084,0.010,0.983,0.148
5.089,0.007,0.988,0.145
5.094,0.008,0.984,0.150
5.099,0.011,0.986,0.138
5.104,0.015,0.988,0.140
5.109,0.012,0.992,0.132
5.115,0.014,0.990,0.138
5.119,0.019,0.994,0.140
5.124,0.019,0.997,0.139
5.129,0.014,0.996,0.136
5.135,0.012,0.999,0.130
5.139,0.012,0.997,0.129
5.145,0.012,0.993,0.132
5.150,0.010,0.985,0.137
5.155,0.018,0.992,0.131
5.160,0.019,0.990,0.138
5.165,0.016,0.991,0.146
5.171,0.017,0.986,0.136
5.176,0.020,0.985,0.140
5.181,0.015,0.985,0.142
5.186,0.022,0.983,0.137
5.193,0.026,0.982,0.139
5.195,0.022,0.989,0.138
5.207,0.021,0.988,0.135
5.209,0.019,0.987,0.136
5.211,0.023,0.990,0.128
5.220,0.024,0.990,0.126
5.221,0.025,0.990,0.127
5.226,0.022,0.990,0.118
5.230,0.031,0.985,0.117
5.235,0.022,1.001,0.123
5.240,0.022,0.991,0.121
5.245,0.029,0.994,0.124
5.250,0.032,0.988,0.116
5.255,0.032,0.988,0.116
5.422,0.031,0.985,0.120
5.423,0.038,0.977,0.123
5.424,0.037,0.977,0.124
5.425,0.044,0.981,0.113
5.426,0.041,0.973,0.118
5.427,0.045,0.976,0.120
5.428,0.044,0.975,0.116
5.428,0.048,0.971,0.121
5.429,0.045,0.980,0.118
5.430,0.043,0.982,0.128
5.431,0.039,0.987,0.134
5.431,0.040,0.981,0.137
5.432,0.032,0.981,0.124
5.433,0.034,0.988,0.125
5.445,0.028,0.988,0.120
5.446,0.032,0.988,0.127
5.451,0.037,0.987,0.121
5.453,0.028,0.986,0.119
5.464,0.032,0.991,0.119
5.467,0.037,0.995,0.122
5.475,0.034,0.993,0.125
5.476,0.032,0.992,0.124
5.477,0.036,0.989,0.117
5.482,0.041,0.988,0.122
5.487,0.043,0.986,0.124
5.492,0.045,0.990,0.126
5.497,0.051,0.982,0.122
5.502,0.053,0.977,0.121
5.507,0.061,0.974,0.129
5.512,0.063,0.977,0.131
5.517,0.062,0.970,0.125
5.522,0.068,0.979,0.114
5.527,0.067,0.986,0.105
5.532,0.066,0.988,0.114
5.537,0.064,1.001,0.121
5.542,0.065,1.003,0.137
5.547,0.073,1.010,0.142
5.553,0.078,1.010,0.160
5.558,0.074,1.008,0.166
5.562,0.076,1.004,0.171
5.567,0.080,0.997,0.170
5.572,0.077,0.981,0.161
5.770,0.080,0.979,0.149
5.771,0.082,0.971,0.140
5.773,0.076,0.973,0.136
5.774,0.079,0.974,0.129
5.776,0.073,0.971,0.121
5.777,0.073,0.971,0.113
5.779,0.073,0.976,0.111
5.780,0.075,0.969,0.107
5.781,0.076,0.974,0.092
5.783,0.079,0.976,0.098
5.784,0.086,0.974,0.100
5.785,0.083,0.985,0.095
5.787,0.122,0.974,0.140
5.788,0.118,0.978,0.146
5.789,0.108,0.981,0.143
5.791,0.101,0.982,0.123
5.803,0.091,0.980,0.109
5.804,0.083,0.983,0.086
5.806,0.082,0.972,0.077
5.811,0.078,0.971,0.068
5.815,0.077,0.968,0.060
5.820,0.074,0.968,0.057
5.826,0.075,0.966,0.072
5.830,0.071,0.964,0.079
5.836,0.065,0.965,0.088
5.840,0.057,0.970,0.094
5.844,0.057,0.982,0.094
5.850,0.058,0.981,0.087
5.856,0.065,0.987,0.075
5.860,0.071,0.984,0.062
5.864,0.066,0.986,0.052
5.871,0.073,0.989,0.042
5.877,0.083,0.991,0.039
5.882,0.095,0.997,0.055
5.886,0.097,0.996,0.052
5.892,0.106,0.987,0.044
5.896,0.077,0.985,0.061
5.902,0.078,0.986,0.046
5.907,0.066,0.987,0.044
5.911,0.064,0.992,0.035
5.917,0.056,0.996,0.017
5.922,0.074,0.990,0.030
5.926,0.090,0.988,0.040
5.930,0.091,0.987,0.035
5.935,0.075,0.988,0.035
5.940,0.066,0.990,0.044
5.945,0.066,0.995,0.033
5.950,0.065,0.996,0.018
5.955,0.083,0.991,0.016
5.960,0.100,0.989,0.014
5.965,0.121,0.994,-0.002
5.970,0.123,0.988,0.000
5.976,0.182,0.972,-0.008
5.980,0.165,0.990,-0.017
5.985,0.153,0.989,-0.024
5.990,0.136,0.991,-0.011
5.996,0.125,0.989,-0.001
6.001,0.124,0.982,0.001
6.172,0.124,0.981,0.010
6.173,0.109,0.972,0.015
6.174,0.106,0.972,0.029
6.175,0.099,0.970,0.030
6.176,0.118,0.980,0.032
6.176,0.116,0.977,0.034
6.177,0.101,0.974,0.045
6.178,0.096,0.978,0.066
6.179,0.094,0.983,0.062
6.179,0.092,0.981,0.064
6.181,0.097,0.988,0.059
6.181,0.118,0.989,0.036
6.182,-0.028,0.918,0.236
6.183,-0.054,0.913,0.217
6.195,-0.059,0.915,0.171
6.196,-0.069,0.921,0.132
6.196,-0.056,0.962,0.026
6.202,-0.047,1.004,-0.003
6.207,-0.003,1.062,-0.021
6.212,0.017,1.114,0.005
6.217,0.059,1.153,0.031
6.222,0.071,1.173,0.098
6.227,0.079,1.171,0.141
6.232,0.073,1.146,0.175
6.237,0.096,1.110,0.197
6.242,0.103,1.080,0.193
6.247,0.075,1.061,0.223
6.252,0.026,1.058,0.245
6.258,-0.036,1.063,0.263
6.262,-0.084,1.074,0.273
6.267,-0.114,1.067,0.283
6.272,-0.127,1.067,0.293
6.278,-0.132,1.032,0.323
6.282,-0.133,1.003,0.332
6.288,-0.138,0.964,0.333
6.293,-0.144,0.940,0.335
6.297,-0.149,0.920,0.325
6.303,-0.165,0.908,0.301
6.525,-0.183,0.904,0.267
6.526,-0.208,0.907,0.227
6.527,-0.243,0.918,0.189
6.527,-0.260,0.947,0.163
6.528,-0.278,0.961,0.146
6.529,-0.279,0.990,0.158
6.530,-0.255,1.010,0.179
6.538,-0.232,1.024,0.210
6.538,-0.204,1.025,0.232
6.539,-0.157,0.998,0.235
6.540,-0.135,0.971,0.227
6.540,-0.126,0.951,0.216
6.541,-0.212,0.978,0.152
6.542,-0.204,0.987,0.150
6.542,-0.203,0.994,0.168
6.544,-0.197,0.994,0.171
6.550,-0.191,0.995,0.181
6.555,-0.193,0.993,0.188
6.560,-0.183,0.991,0.187
6.565,-0.184,0.988,0.186
6.570,-0.177,0.986,0.187
6.575,-0.171,0.977,0.198
6.580,-0.167,0.973,0.186
6.584,-0.158,0.969,0.189
6.590,-0.159,0.963,0.180
6.594,-0.157,0.959,0.178
6.601,-0.143,0.957,0.169
6.605,-0.133,0.958,0.171
6.610,-0.131,0.955,0.164
6.615,-0.126,0.960,0.167
6.620,-0.115,0.961,0.165
6.625,-0.110,0.960,0.158
6.630,-0.107,0.965,0.167
6.636,-0.104,0.962,0.169
6.641,-0.110,0.967,0.172
6.646,-0.104,0.964,0.176
6.651,-0.114,0.970,0.183
6.656,-0.112,0.970,0.186
6.661,-0.118,0.974,0.192
6.666,-0.128,0.984,0.192
6.671,-0.127,0.984,0.186
6.678,-0.131,0.978,0.185
6.681,-0.137,0.975,0.187
6.686,-0.137,0.969,0.194
6.691,-0.139,0.963,0.198
6.697,-0.141,0.959,0.189
6.701,-0.146,0.945,0.186
6.707,-0.143,0.940,0.184
6.713,-0.143,0.936,0.185
6.719,-0.142,0.933,0.183
6.720,-0.138,0.932,0.195
6.727,-0.143,0.933,0.199
6.733,-0.136,0.929,0.197
6.738,-0.136,0.934,0.209
6.743,-0.131,0.941,0.205
6.748,-0.134,0.940,0.206
6.752,-0.126,0.940,0.211
6.758,-0.126,0.940,0.221
6.763,-0.122,0.931,0.218
6.768,-0.116,0.934,0.218
6.772,-0.120,0.943,0.223
6.779,-0.118,0.941,0.218
6.918,-0.112,0.944,0.217
6.919,-0.116,0.948,0.219
6.922,-0.109,0.945,0.219
6.923,-0.111,0.946,0.223
6.942,-0.115,0.953,0.218
6.943,-0.115,0.951,0.221
6.944,-0.115,0.953,0.228
6.944,-0.116,0.956,0.227
6.946,-0.105,0.960,0.215
6.948,-0.112,0.966,0.215
6.949,-0.114,0.969,0.209
6.949,-0.109,0.975,0.205
6.950,-0.108,0.999,0.206
6.952,-0.109,1.002,0.203
6.953,-0.108,1.008,0.204
6.954,-0.095,1.000,0.203
6.955,-0.100,1.001,0.194
6.956,-0.099,0.994,0.191
6.958,-0.096,0.989,0.192
6.959,-0.086,0.988,0.194
6.975,-0.083,0.983,0.192
6.975,-0.086,0.977,0.185
6.977,-0.083,0.979,0.188
6.978,-0.085,0.970,0.192
6.983,-0.081,0.972,0.194
6.988,-0.083,0.980,0.197
6.993,-0.081,0.976,0.189
6.998,-0.079,0.974,0.196
7.004,-0.084,0.976,0.201
7.008,-0.074,0.972,0.202
7.013,-0.082,0.975,0.208
7.019,-0.075,0.970,0.213
7.023,-0.083,0.966,0.205
7.028,-0.073,0.974,0.207
7.033,-0.074,0.977,0.204
7.038,-0.078,0.977,0.193
7.043,-0.083,0.982,0.180
7.049,-0.075,0.977,0.177
7.053,-0.067,0.987,0.179
7.058,-0.053,0.991,0.175
7.063,-0.050,0.981,0.171
7.254,-0.034,0.973,0.174
7.255,-0.032,0.968,0.169
7.256,-0.033,0.964,0.164
7.256,-0.034,0.958,0.166
7.257,-0.030,0.960,0.170
7.258,-0.029,0.959,0.161
7.258,-0.029,0.958,0.165
7.259,-0.037,0.967,0.166
7.260,-0.030,0.968,0.169
7.260,-0.028,0.975,0.159
7.261,-0.024,0.976,0.163
7.262,-0.023,0.978,0.163
7.262,-0.008,0.976,0.167
7.265,-0.003,0.978,0.175
7.269,-0.001,0.976,0.180
7.275,-0.004,0.975,0.181
7.279,-0.011,0.973,0.174
7.285,-0.015,0.975,0.182
7.289,-0.026,0.984,0.191
7.295,-0.032,0.986,0.184
7.299,-0.032,0.991,0.196
7.304,-0.034,0.995,0.189
7.310,-0.039,0.997,0.189
7.315,-0.044,0.997,0.181
7.320,-0.045,0.991,0.170
7.325,-0.033,0.991,0.169
7.331,-0.037,0.990,0.165
7.336,-0.031,0.988,0.157
7.341,-0.025,0.993,0.154
7.346,-0.027,0.996,0.158
7.351,-0.024,0.995,0.148
7.356,-0.018,0.995,0.155
7.361,-0.024,0.990,0.155
7.366,-0.017,0.989,0.162
7.371,-0.014,0.990,0.166
7.376,-0.009,0.987,0.172
7.381,-0.012,0.981,0.176
7.386,-0.008,0.984,0.176
7.391,-0.009,0.981,0.179
7.395,-0.007,0.975,0.174
7.402,-0.006,0.976,0.172
7.406,-0.007,0.978,0.180
7.411,-0.005,0.978,0.180
7.416,-0.005,0.975,0.176
7.421,0.000,0.977,0.156
7.427,-0.011,0.975,0.161
7.432,-0.008,0.975,0.159
7.439,-0.008,0.977,0.147
7.442,-0.011,0.973,0.144
7.446,-0.006,0.968,0.138
7.451,-0.010,0.971,0.129
7.456,-0.007,0.976,0.140
7.461,0.002,0.982,0.130
7.468,-0.012,0.978,0.133
7.476,-0.004,0.984,0.131
7.478,-0.005,0.987,0.133
7.484,-0.005,0.986,0.130
7.486,0.002,0.991,0.127
7.491,0.001,0.989,0.137
7.660,0.010,0.995,0.134
7.661,0.005,1.002,0.130
7.662,0.006,1.000,0.131
7.662,0.008,1.003,0.138
7.663,0.001,1.002,0.132
7.664,0.006,1.004,0.129
7.664,0.008,1.005,0.128
7.665,0.006,0.999,0.128
7.666,0.005,1.000,0.132
7.667,0.005,0.996,0.128
7.667,0.003,0.980,0.124
7.668,0.010,0.981,0.119
7.669,-0.001,0.990,0.127
7.669,-0.003,0.995,0.125
7.689,-0.000,0.995,0.116
7.690,-0.000,0.991,0.122
7.691,0.004,0.992,0.129
7.692,-0.003,0.987,0.130
7.694,-0.002,0.983,0.148
7.698,-0.007,0.973,0.152
7.703,-0.002,0.973,0.158
7.708,-0.003,0.971,0.154
7.713,-0.006,0.970,0.160
7.719,-0.011,0.970,0.160
7.723,-0.004,0.972,0.163
7.728,-0.012,0.973,0.160
7.733,-0.011,0.975,0.168
7.738,-0.016,0.982,0.156
7.744,-0.013,0.981,0.153
7.749,-0.022,0.990,0.147
7.754,-0.021,0.985,0.159
7.759,-0.016,0.990,0.146
7.764,-0.015,0.987,0.154
7.769,-0.016,0.985,0.154
7.774,-0.016,0.984,0.145
7.779,-0.017,0.983,0.136
7.787,-0.014,0.984,0.140
7.789,-0.017,0.986,0.141
7.795,-0.014,0.983,0.137
7.800,-0.016,0.989,0.138
8.019,-0.014,0.983,0.146
8.020,-0.018,0.991,0.149
8.022,-0.014,0.991,0.152
8.024,-0.012,0.997,0.154
8.031,-0.019,0.997,0.153
8.035,-0.018,0.992,0.153
8.037,-0.016,0.995,0.159
8.039,-0.016,0.994,0.156
8.040,-0.024,0.993,0.148
8.042,-0.017,0.992,0.144
8.044,-0.023,0.998,0.148
8.046,-0.025,0.987,0.147
8.047,-0.035,0.983,0.136
8.049,-0.042,0.985,0.137
8.051,-0.037,0.985,0.133
8.053,-0.037,0.981,0.134
8.055,-0.035,0.987,0.132
8.056,-0.031,0.979,0.137
8.058,-0.028,0.985,0.127
8.060,-0.023,0.979,0.133
8.062,-0.023,0.982,0.130
8.064,-0.025,0.981,0.131
8.066,-0.029,0.974,0.129
8.068,-0.027,0.981,0.131
8.083,-0.031,0.980,0.127
8.084,-0.031,0.980,0.141
8.085,-0.034,0.983,0.139
8.086,-0.037,0.980,0.146
8.090,-0.032,0.977,0.139
8.095,-0.041,0.977,0.144
8.101,-0.040,0.971,0.145
8.105,-0.043,0.975,0.142
8.110,-0.037,0.976,0.132
8.115,-0.035,0.975,0.140
8.120,-0.035,0.973,0.137
8.125,-0.032,0.977,0.143
8.130,-0.034,0.977,0.134
8.137,-0.033,0.984,0.138
8.142,-0.027,0.985,0.138
8.147,-0.034,0.988,0.144
8.152,-0.026,0.988,0.147
8.157,-0.022,0.989,0.153
8.162,-0.026,0.990,0.150
8.167,-0.026,0.992,0.156
8.172,-0.025,0.993,0.158
8.177,-0.021,0.999,0.153
8.182,-0.022,0.994,0.157
8.186,-0.029,0.997,0.158
8.192,-0.029,0.998,0.155
8.197,-0.031,0.997,0.154
