time,x,y,z
5.002,-0.285,0.949,0.077
5.008,-0.278,0.949,0.072
5.013,-0.274,0.947,0.075
5.018,-0.278,0.946,0.073
5.023,-0.275,0.945,0.072
5.028,-0.275,0.942,0.072
5.033,-0.278,0.944,0.076
5.038,-0.273,0.938,0.072
5.043,-0.263,0.937,0.064
5.048,-0.271,0.941,0.063
5.053,-0.264,0.945,0.070
5.058,-0.263,0.946,0.058
5.063,-0.260,0.946,0.057
5.068,-0.260,0.946,0.061
5.073,-0.262,0.945,0.064
5.078,-0.261,0.949,0.064
5.083,-0.259,0.946,0.061
5.088,-0.260,0.948,0.062
5.093,-0.265,0.943,0.065
5.098,-0.263,0.944,0.071
5.103,-0.263,0.947,0.066
5.108,-0.267,0.946,0.072
5.113,-0.267,0.947,0.069
5.118,-0.269,0.947,0.072
5.124,-0.269,0.944,0.069
5.129,-0.266,0.949,0.073
5.134,-0.260,0.943,0.068
5.139,-0.268,0.942,0.076
5.144,-0.267,0.945,0.076
5.149,-0.268,0.942,0.074
5.154,-0.264,0.937,0.080
5.159,-0.266,0.944,0.078
5.164,-0.263,0.940,0.082
5.169,-0.270,0.947,0.090
5.174,-0.265,0.949,0.085
5.179,-0.267,0.946,0.086
5.195,-0.271,0.944,0.082
5.198,-0.278,0.941,0.078
5.201,-0.277,0.936,0.074
5.203,-0.281,0.945,0.082
5.206,-0.276,0.946,0.091
5.211,-0.285,0.948,0.091
5.217,-0.285,0.939,0.089
5.220,-0.281,0.938,0.089
5.226,-0.296,0.931,0.080
5.232,-0.297,0.934,0.072
5.237,-0.295,0.936,0.079
5.241,-0.292,0.937,0.075
5.250,-0.284,0.926,0.080
5.254,-0.287,0.933,0.085
5.257,-0.288,0.953,0.084
5.261,-0.289,0.961,0.089
5.271,-0.284,0.960,0.086
5.273,-0.292,0.950,0.083
5.276,-0.289,0.941,0.075
5.283,-0.291,0.941,0.071
5.286,-0.288,0.939,0.072
5.292,-0.284,0.940,0.077
5.296,-0.288,0.936,0.067
5.301,-0.275,0.939,0.073
5.306,-0.276,0.940,0.085
5.316,-0.275,0.940,0.082
5.319,-0.280,0.941,0.079
5.465,-0.275,0.938,0.075
5.466,-0.273,0.950,0.074
5.467,-0.275,0.944,0.081
5.467,-0.275,0.947,0.075
5.468,-0.274,0.940,0.077
5.469,-0.275,0.944,0.073
5.469,-0.269,0.944,0.078
5.470,-0.271,0.947,0.073
5.470,-0.276,0.951,0.077
5.472,-0.272,0.946,0.079
5.474,-0.273,0.946,0.078
5.475,-0.278,0.947,0.074
5.477,-0.276,0.940,0.091
5.478,-0.271,0.943,0.081
5.480,-0.273,0.939,0.087
5.481,-0.275,0.936,0.076
5.486,-0.270,0.944,0.077
5.491,-0.270,0.943,0.078
5.496,-0.280,0.943,0.078
5.501,-0.276,0.937,0.072
5.506,-0.281,0.942,0.080
5.511,-0.280,0.943,0.087
5.516,-0.286,0.942,0.086
5.521,-0.288,0.941,0.087
5.526,-0.290,0.939,0.089
5.531,-0.296,0.940,0.089
5.536,-0.298,0.940,0.097
5.541,-0.298,0.940,0.094
5.546,-0.304,0.940,0.099
5.551,-0.308,0.940,0.092
