time,x,y,z
5.007,0.003,0.980,-0.070
5.008,0.010,0.975,-0.077
5.025,0.002,0.973,-0.077
5.026,0.009,0.972,-0.077
5.027,0.005,0.971,-0.073
5.037,0.003,0.976,-0.074
5.044,0.002,0.978,-0.081
5.045,-0.001,0.978,-0.084
5.046,0.001,0.983,-0.077
5.050,-0.000,0.978,-0.085
5.054,-0.001,0.981,-0.077
5.059,-0.007,0.979,-0.084
5.064,-0.003,0.981,-0.087
5.069,-0.001,0.978,-0.081
5.074,-0.001,0.979,-0.075
5.079,-0.003,0.982,-0.081
5.084,-0.004,0.983,-0.079
5.089,-0.002,0.981,-0.083
5.094,-0.001,0.984,-0.081
5.099,0.004,0.981,-0.083
5.104,-0.000,0.983,-0.075
5.109,-0.011,0.980,-0.083
5.114,-0.010,0.987,-0.073
5.119,-0.011,0.990,-0.078
5.124,-0.007,0.988,-0.083
5.129,-0.012,0.988,-0.090
5.134,-0.017,0.979,-0.086
5.378,-0.021,0.979,-0.077
5.380,-0.027,0.978,-0.080
5.382,-0.023,0.976,-0.083
5.384,-0.028,0.973,-0.079
5.386,-0.029,0.978,-0.075
5.387,-0.025,0.980,-0.073
5.388,-0.024,0.982,-0.066
5.388,-0.029,0.980,-0.066
5.389,-0.025,0.986,-0.073
5.390,-0.021,0.983,-0.062
5.390,-0.023,0.979,-0.070
5.391,-0.023,0.992,-0.068
5.392,-0.035,0.979,-0.070
5.392,-0.038,0.980,-0.075
5.393,-0.042,0.975,-0.067
5.403,-0.037,0.979,-0.071
5.404,-0.041,0.971,-0.072
5.408,-0.037,0.972,-0.071
5.593,-0.040,0.985,-0.078
5.594,-0.041,0.984,-0.073
5.594,-0.039,0.983,-0.068
5.595,-0.038,0.985,-0.072
5.596,-0.036,0.987,-0.077
5.596,-0.039,0.986,-0.071
5.597,-0.038,0.989,-0.074
5.598,-0.032,0.994,-0.074
5.598,-0.033,0.996,-0.077
5.599,-0.025,0.994,-0.076
5.600,-0.029,0.993,-0.074
5.600,-0.027,0.995,-0.066
5.601,-0.024,0.983,-0.065
5.611,-0.027,0.987,-0.070
5.612,-0.027,0.980,-0.070
5.613,-0.014,0.981,-0.069
5.618,-0.017,0.980,-0.074
5.623,-0.022,0.979,-0.074
5.628,-0.019,0.979,-0.063
5.635,-0.016,0.976,-0.069
5.646,-0.017,0.977,-0.064
