time,x,y,z
5.008,0.103,0.946,-0.244
5.024,0.096,0.956,-0.248
5.040,0.094,0.973,-0.251
5.053,0.097,0.981,-0.256
5.067,0.101,0.965,-0.248
5.082,0.108,0.947,-0.248
5.095,0.115,0.944,-0.246
5.109,0.130,0.951,-0.246
5.122,0.136,0.956,-0.248
5.135,0.137,0.958,-0.247
5.148,0.132,0.954,-0.248
5.162,0.133,0.938,-0.247
5.175,0.140,0.935,-0.244
5.188,0.156,0.937,-0.233
5.203,0.166,0.943,-0.227
5.216,0.163,0.944,-0.231
5.231,0.148,0.943,-0.248
5.244,0.144,0.946,-0.251
5.259,0.146,0.947,-0.249
5.274,0.156,0.951,-0.242
5.286,0.162,0.949,-0.238
5.297,0.160,0.942,-0.245
5.310,0.155,0.936,-0.250
5.323,0.144,0.929,-0.251
5.338,0.139,0.941,-0.247
5.353,0.138,0.948,-0.243
5.369,0.142,0.958,-0.246
5.385,0.144,0.952,-0.251
5.397,0.144,0.945,-0.256
5.415,0.147,0.929,-0.257
5.429,0.148,0.928,-0.251
5.444,0.153,0.941,-0.247
5.469,0.156,0.949,-0.247
5.478,0.164,0.963,-0.246
5.496,0.169,0.949,-0.246
5.510,0.170,0.931,-0.242
5.524,0.166,0.929,-0.239
5.540,0.160,0.936,-0.241
5.553,0.148,0.940,-0.247
5.568,0.143,0.939,-0.251
5.584,0.141,0.935,-0.253
5.598,0.148,0.939,-0.249
5.612,0.152,0.944,-0.247
5.626,0.160,0.954,-0.251
5.640,0.159,0.953,-0.252
5.655,0.158,0.950,-0.251
5.668,0.151,0.944,-0.243
5.682,0.148,0.943,-0.239
5.694,0.144,0.940,-0.239
5.707,0.143,0.941,-0.242
5.722,0.143,0.944,-0.246
5.735,0.145,0.943,-0.249
5.748,0.145,0.942,-0.251
5.763,0.141,0.939,-0.255
5.776,0.141,0.938,-0.258
5.790,0.141,0.944,-0.259
5.805,0.140,0.947,-0.258
5.817,0.142,0.948,-0.255
5.832,0.141,0.942,-0.256
5.845,0.138,0.941,-0.260
5.860,0.137,0.943,-0.261
5.873,0.137,0.948,-0.263
5.885,0.141,0.948,-0.259
5.900,0.143,0.948,-0.253
5.912,0.144,0.947,-0.251
5.925,0.143,0.948,-0.253
5.940,0.143,0.948,-0.258
5.955,0.147,0.946,-0.259
5.969,0.144,0.939,-0.252
5.982,0.140,0.937,-0.249
5.995,0.131,0.938,-0.250
6.010,0.128,0.941,-0.257
6.026,0.130,0.947,-0.261
6.041,0.143,0.950,-0.257
6.057,0.154,0.950,-0.253
6.069,0.156,0.951,-0.253
6.083,0.153,0.948,-0.255
6.096,0.151,0.940,-0.254
6.110,0.152,0.941,-0.250
6.123,0.159,0.940,-0.249
6.139,0.163,0.938,-0.250
6.152,0.164,0.934,-0.259
6.166,0.161,0.939,-0.266
6.178,0.162,0.940,-0.264
6.193,0.166,0.939,-0.254
6.204,0.168,0.940,-0.250
6.218,0.167,0.938,-0.250
6.234,0.162,0.934,-0.264
6.247,0.159,0.937,-0.266
6.263,0.155,0.944,-0.261
6.278,0.153,0.948,-0.250
6.292,0.155,0.946,-0.247
6.304,0.154,0.938,-0.252
6.318,0.155,0.939,-0.261
6.332,0.158,0.940,-0.261
6.344,0.159,0.941,-0.253
6.360,0.159,0.941,-0.249
6.372,0.158,0.939,-0.243
6.385,0.160,0.939,-0.246
6.399,0.165,0.938,-0.252
6.413,0.164,0.933,-0.258
6.426,0.164,0.934,-0.258
6.441,0.160,0.938,-0.254
6.455,0.159,0.940,-0.252
6.469,0.157,0.944,-0.251
6.485,0.154,0.948,-0.259
6.498,0.153,0.945,-0.262
6.510,0.156,0.938,-0.258
6.524,0.157,0.934,-0.250
6.540,0.159,0.936,-0.247
6.556,0.161,0.945,-0.248
6.568,0.166,0.948,-0.256
6.580,0.169,0.946,-0.259
6.595,0.164,0.940,-0.257
6.606,0.159,0.941,-0.253
6.620,0.155,0.947,-0.248
6.633,0.154,0.946,-0.246
6.648,0.155,0.941,-0.249
6.660,0.156,0.936,-0.253
6.675,0.157,0.934,-0.259
6.690,0.153,0.938,-0.260
6.703,0.153,0.943,-0.257
6.716,0.151,0.950,-0.249
6.731,0.150,0.949,-0.246
6.748,0.150,0.941,-0.249
6.763,0.150,0.932,-0.250
6.777,0.151,0.936,-0.251
6.791,0.144,0.941,-0.251
6.805,0.143,0.943,-0.249
6.819,0.142,0.943,-0.253
6.832,0.143,0.940,-0.257
6.844,0.149,0.941,-0.261
6.866,0.152,0.938,-0.264
6.872,0.151,0.934,-0.265
6.885,0.145,0.934,-0.265
6.900,0.140,0.935,-0.266
6.914,0.141,0.941,-0.268
6.926,0.143,0.946,-0.269
6.943,0.150,0.954,-0.268
6.957,0.152,0.954,-0.264
6.971,0.154,0.949,-0.263
6.983,0.156,0.937,-0.255
6.995,0.159,0.935,-0.250
7.007,0.160,0.939,-0.246
7.020,0.163,0.939,-0.247
7.036,0.157,0.931,-0.257
7.051,0.172,0.937,-0.268
7.065,0.182,0.939,-0.268
7.081,0.199,0.912,-0.253
7.095,0.220,0.916,-0.233
7.109,0.209,0.935,-0.234
7.121,0.193,0.944,-0.246
7.135,0.186,0.956,-0.253
7.150,0.178,0.942,-0.250
7.163,0.161,0.939,-0.252
7.176,0.164,0.946,-0.252
7.189,0.185,0.946,-0.258
7.203,0.191,0.935,-0.264
7.216,0.209,0.923,-0.275
7.230,0.218,0.932,-0.278
7.250,0.209,0.942,-0.261
7.264,0.205,0.945,-0.257
7.278,0.194,0.944,-0.248
7.292,0.189,0.936,-0.254
7.305,0.191,0.934,-0.259
7.318,0.206,0.934,-0.260
7.334,0.216,0.936,-0.256
7.348,0.220,0.938,-0.253
7.361,0.219,0.929,-0.249
7.375,0.216,0.924,-0.244
7.388,0.211,0.920,-0.241
7.404,0.210,0.928,-0.239
7.418,0.208,0.929,-0.229
7.434,0.206,0.929,-0.227
7.449,0.204,0.934,-0.232
7.464,0.203,0.940,-0.242
7.478,0.200,0.941,-0.246
7.490,0.190,0.938,-0.247
7.505,0.186,0.935,-0.246
7.517,0.185,0.931,-0.244
7.529,0.188,0.931,-0.241
7.546,0.196,0.934,-0.237
7.562,0.190,0.948,-0.242
7.576,0.175,0.946,-0.242
7.604,0.154,0.945,-0.251
7.607,0.148,0.924,-0.249
7.621,0.150,0.922,-0.245
7.633,0.152,0.930,-0.248
7.648,0.154,0.928,-0.250
7.662,0.154,0.942,-0.249
7.676,0.144,0.943,-0.257
7.690,0.142,0.948,-0.253
7.704,0.134,0.948,-0.252
7.718,0.144,0.934,-0.251
7.732,0.158,0.934,-0.242
7.748,0.159,0.911,-0.237
7.761,0.173,0.916,-0.233
7.774,0.185,0.946,-0.238
7.786,0.177,0.935,-0.247
7.800,0.189,0.951,-0.251
7.814,0.174,0.941,-0.258
7.828,0.183,0.937,-0.262
7.843,0.178,0.940,-0.264
7.861,0.169,0.935,-0.261
7.874,0.166,0.939,-0.261
7.889,0.175,0.952,-0.262
7.904,0.197,0.957,-0.273
7.917,0.212,0.956,-0.275
7.930,0.225,0.936,-0.262
7.945,0.223,0.910,-0.226
7.960,0.216,0.906,-0.213
7.972,0.197,0.913,-0.207
7.986,0.179,0.925,-0.236
7.999,0.184,0.928,-0.261
8.012,0.206,0.926,-0.280
8.025,0.206,0.923,-0.268
8.040,0.203,0.928,-0.239
8.054,0.214,0.946,-0.248
8.068,0.218,0.945,-0.258
8.086,0.220,0.937,-0.256
8.103,0.228,0.930,-0.235
