time,x,y,z
5.009,-0.041,1.000,-0.018
5.022,-0.044,1.000,-0.023
5.035,-0.036,0.988,-0.022
5.049,-0.029,0.985,-0.014
5.062,-0.026,0.987,-0.013
5.078,-0.015,0.995,-0.006
5.093,-0.013,0.997,-0.002
5.105,-0.010,0.997,-0.013
5.118,-0.012,0.994,-0.029
5.130,-0.008,0.989,-0.032
5.143,-0.002,0.986,-0.032
5.156,0.003,0.990,-0.023
5.168,0.000,0.993,-0.016
5.183,-0.010,0.993,-0.017
5.196,-0.014,0.989,-0.028
5.210,-0.014,0.988,-0.029
5.224,-0.012,0.987,-0.022
5.236,-0.010,0.988,-0.022
5.264,-0.011,0.988,-0.025
5.265,-0.013,0.990,-0.033
5.280,-0.011,0.990,-0.033
5.287,-0.007,0.990,-0.021
5.300,-0.001,0.991,-0.009
5.313,-0.002,0.989,-0.009
5.326,-0.003,0.989,-0.023
5.339,-0.004,0.990,-0.031
5.351,-0.002,0.991,-0.024
5.365,-0.001,0.990,-0.016
5.380,-0.003,0.992,-0.002
5.394,-0.007,0.992,-0.018
5.406,-0.018,0.991,-0.025
5.420,-0.019,0.991,-0.025
5.434,-0.013,0.991,-0.023
5.448,-0.007,0.992,-0.020
5.461,-0.002,0.991,-0.017
5.474,0.001,0.991,-0.018
5.487,0.002,0.987,-0.013
5.500,0.000,0.986,-0.013
5.522,-0.004,0.988,-0.012
5.530,-0.004,0.989,-0.011
5.538,-0.005,0.989,-0.007
5.550,-0.005,0.990,-0.019
5.564,-0.002,0.992,-0.027
5.577,0.002,0.996,-0.020
5.589,0.003,0.996,-0.009
5.607,-0.013,0.983,0.006
5.620,-0.029,0.987,-0.001
5.632,-0.028,0.989,-0.010
5.644,-0.016,0.994,-0.016
5.656,-0.009,0.996,-0.018
5.671,-0.001,0.997,-0.013
5.686,-0.002,0.995,-0.011
5.699,-0.014,0.987,-0.010
5.712,-0.023,0.989,-0.012
5.727,-0.017,0.993,-0.017
5.738,-0.003,0.990,-0.014
5.751,-0.001,0.995,-0.016
5.766,0.000,0.996,-0.010
5.781,-0.007,0.987,-0.014
5.795,-0.011,0.985,-0.022
5.809,-0.014,0.989,-0.012
5.823,-0.013,0.991,-0.007
5.837,-0.007,0.996,-0.014
5.849,-0.006,0.994,-0.008
5.862,-0.009,0.991,-0.005
5.879,-0.014,0.987,-0.007
5.894,-0.018,0.990,-0.012
5.909,-0.022,0.994,-0.011
5.921,-0.021,0.997,-0.012
5.935,-0.023,0.994,-0.011
5.956,-0.026,0.989,-0.008
5.967,-0.027,0.992,-0.020
5.973,-0.023,0.995,-0.026
5.988,-0.020,0.994,-0.022
6.004,-0.017,0.991,-0.014
6.017,-0.017,0.991,-0.010
6.032,-0.017,0.993,-0.015
6.047,-0.014,0.993,-0.019
6.063,-0.017,0.991,-0.019
6.076,-0.020,0.987,-0.022
6.090,-0.022,0.996,-0.021
6.104,-0.018,0.997,-0.019
6.118,-0.010,0.991,-0.018
6.130,-0.012,0.988,-0.018
6.143,-0.018,0.988,-0.014
6.155,-0.018,0.986,-0.017
6.168,-0.024,0.994,-0.029
6.181,-0.021,0.996,-0.032
6.194,-0.008,0.995,-0.020
6.208,-0.005,0.993,-0.014
6.221,-0.007,0.992,-0.010
6.233,-0.013,0.991,-0.012
6.246,-0.018,0.989,-0.022
6.258,-0.017,0.991,-0.025
6.271,-0.014,0.992,-0.025
6.283,-0.012,0.993,-0.019
6.297,-0.011,0.993,-0.017
6.311,-0.010,0.987,-0.020
6.324,-0.011,0.989,-0.021
6.338,-0.025,0.992,-0.037
6.351,-0.018,0.992,-0.035
6.365,-0.010,0.992,-0.017
6.378,-0.006,0.992,-0.018
6.392,0.001,0.990,-0.022
6.406,0.000,0.993,-0.025
6.420,-0.004,0.995,-0.029
6.434,-0.006,0.997,-0.026
6.457,-0.007,0.989,-0.015
6.468,-0.010,0.986,-0.022
6.482,-0.017,0.987,-0.028
6.495,-0.022,0.992,-0.033
6.509,-0.025,0.998,-0.036
6.522,-0.022,0.999,-0.038
6.537,-0.013,0.994,-0.038
6.550,-0.011,0.993,-0.033
6.563,-0.010,0.992,-0.026
6.578,-0.011,0.988,-0.026
6.590,-0.012,0.989,-0.031
6.620,-0.010,0.989,-0.038
6.622,-0.012,0.990,-0.036
6.638,-0.011,0.989,-0.031
6.643,-0.010,0.988,-0.035
6.656,-0.012,0.991,-0.050
6.668,-0.011,0.994,-0.055
6.681,-0.009,0.995,-0.046
6.695,-0.008,0.994,-0.040
6.709,-0.001,0.989,-0.037
6.723,-0.004,0.989,-0.037
6.738,-0.005,0.989,-0.038
6.752,-0.005,0.985,-0.037
6.767,-0.006,0.989,-0.040
6.781,-0.007,0.991,-0.042
6.794,-0.010,0.996,-0.052
