time,x,y,z
5.008,0.127,0.975,-0.045
5.023,0.114,0.981,-0.063
5.037,0.118,0.977,-0.053
5.051,0.123,0.973,-0.051
5.064,0.129,0.967,-0.044
5.076,0.128,0.968,-0.043
5.089,0.127,0.976,-0.048
5.101,0.127,0.982,-0.060
5.114,0.135,0.989,-0.052
5.126,0.135,0.984,-0.042
5.139,0.131,0.977,-0.038
5.155,0.127,0.974,-0.033
5.164,0.126,0.976,-0.041
5.178,0.118,0.984,-0.055
5.200,0.117,0.985,-0.057
5.201,0.114,0.988,-0.055
5.211,0.118,0.984,-0.052
5.223,0.125,0.981,-0.053
5.235,0.145,0.975,-0.057
5.249,0.155,0.973,-0.057
5.260,0.163,0.974,-0.052
5.273,0.162,0.973,-0.051
5.288,0.156,0.970,-0.066
5.302,0.152,0.971,-0.070
5.319,0.147,0.970,-0.062
5.335,0.138,0.972,-0.054
5.348,0.130,0.979,-0.058
5.363,0.127,0.983,-0.062
5.377,0.122,0.981,-0.070
5.391,0.112,0.973,-0.073
5.423,0.111,0.971,-0.065
5.423,0.119,0.969,-0.052
5.434,0.132,0.972,-0.057
5.443,0.152,0.971,-0.061
5.454,0.154,0.966,-0.055
5.469,0.146,0.964,-0.067
5.481,0.146,0.972,-0.076
5.497,0.147,0.986,-0.079
5.511,0.163,0.975,-0.069
5.524,0.170,0.968,-0.065
5.539,0.164,0.965,-0.062
5.553,0.155,0.959,-0.058
5.567,0.154,0.967,-0.057
5.580,0.159,0.958,-0.079
5.594,0.159,0.954,-0.081
5.608,0.162,0.948,-0.086
5.622,0.170,0.948,-0.107
5.636,0.175,0.951,-0.096
5.651,0.164,0.962,-0.068
5.664,0.139,0.974,-0.067
5.677,0.129,0.982,-0.075
5.690,0.113,0.999,-0.086
5.703,0.114,1.004,-0.085
5.718,0.121,0.998,-0.055
5.732,0.118,0.992,-0.037
5.746,0.119,0.976,-0.060
5.759,0.148,0.972,-0.076
5.773,0.159,0.974,-0.082
5.788,0.173,0.968,-0.065
5.804,0.180,0.959,-0.050
5.818,0.178,0.958,-0.065
5.830,0.169,0.958,-0.061
5.861,0.168,0.961,-0.078
5.862,0.167,0.965,-0.097
5.872,0.163,0.968,-0.070
5.883,0.165,0.968,-0.074
5.894,0.166,0.967,-0.088
5.906,0.161,0.965,-0.084
5.918,0.160,0.963,-0.066
5.933,0.173,0.960,-0.064
5.945,0.177,0.964,-0.083
5.960,0.172,0.966,-0.076
5.973,0.165,0.964,-0.067
5.985,0.170,0.962,-0.068
5.999,0.183,0.967,-0.065
6.013,0.182,0.967,-0.064
6.029,0.162,0.967,-0.062
6.045,0.156,0.967,-0.069
6.059,0.159,0.973,-0.058
6.073,0.163,0.971,-0.064
6.087,0.151,0.968,-0.060
6.101,0.146,0.970,-0.062
6.116,0.138,0.975,-0.062
6.130,0.137,0.981,-0.056
6.142,0.137,0.981,-0.060
6.155,0.140,0.978,-0.059
6.170,0.139,0.975,-0.050
6.184,0.136,0.973,-0.051
6.200,0.142,0.973,-0.061
6.215,0.141,0.972,-0.069
6.228,0.142,0.974,-0.063
6.244,0.140,0.971,-0.039
6.260,0.143,0.977,-0.058
6.274,0.141,0.981,-0.064
6.287,0.142,0.977,-0.058
6.301,0.141,0.969,-0.056
6.315,0.138,0.970,-0.066
6.327,0.144,0.972,-0.065
6.339,0.150,0.974,-0.060
6.351,0.144,0.977,-0.071
6.364,0.145,0.980,-0.069
6.376,0.148,0.979,-0.062
6.390,0.151,0.977,-0.064
6.405,0.150,0.964,-0.054
6.420,0.152,0.964,-0.054
6.434,0.152,0.974,-0.079
6.448,0.142,0.987,-0.054
6.463,0.134,0.987,-0.048
6.477,0.136,0.980,-0.055
6.495,0.144,0.973,-0.046
6.510,0.146,0.968,-0.052
6.526,0.147,0.970,-0.061
6.533,0.144,0.970,-0.055
6.548,0.154,0.964,-0.058
6.566,0.139,0.985,-0.050
6.573,0.137,0.988,-0.057
6.589,0.153,0.978,-0.063
