time,x,y,z
5.011,-0.064,0.991,0.008
5.023,-0.066,0.989,0.000
5.034,-0.066,0.990,-0.002
5.045,-0.064,0.990,0.001
5.056,-0.063,0.996,-0.000
5.068,-0.062,0.996,0.002
5.079,-0.066,1.001,0.005
5.091,-0.065,0.997,0.015
5.102,-0.068,0.993,0.013
5.113,-0.072,0.990,0.010
5.125,-0.075,0.988,0.007
5.137,-0.073,0.989,0.007
5.149,-0.071,0.990,0.003
5.166,-0.067,0.991,0.008
5.182,-0.061,0.988,0.014
5.190,-0.062,0.993,0.012
5.204,-0.058,0.993,0.013
5.217,-0.058,0.992,0.009
5.228,-0.058,0.991,0.008
5.247,-0.055,0.995,0.014
5.253,-0.053,0.995,0.016
5.262,-0.056,1.000,0.013
5.273,-0.058,0.998,0.016
5.284,-0.059,0.994,0.017
5.296,-0.059,0.989,0.017
5.307,-0.067,0.985,0.010
5.319,-0.069,0.988,0.009
5.332,-0.065,0.992,0.019
5.343,-0.061,0.992,0.023
5.355,-0.061,0.994,0.021
5.368,-0.059,0.993,0.006
5.380,-0.058,0.990,0.005
5.394,-0.055,0.988,0.012
5.407,-0.055,0.988,0.016
5.421,-0.057,0.986,0.021
5.434,-0.059,0.989,0.025
5.448,-0.058,0.996,0.021
5.461,-0.055,0.995,0.012
5.476,-0.056,0.994,0.009
5.490,-0.056,0.991,0.015
5.503,-0.057,0.990,0.018
5.516,-0.061,0.988,0.020
5.530,-0.064,0.992,0.024
5.552,-0.062,0.991,0.030
5.557,-0.067,0.993,0.020
5.573,-0.062,0.991,0.016
5.588,-0.060,0.988,0.013
5.601,-0.059,0.988,0.014
5.616,-0.060,0.988,0.016
5.627,-0.060,0.987,0.018
5.641,-0.062,0.987,0.017
5.655,-0.049,0.987,0.019
5.668,-0.055,0.991,0.012
5.683,-0.051,0.994,0.013
5.696,-0.054,0.999,0.021
5.712,-0.058,0.997,0.023
5.727,-0.063,0.993,0.022
5.741,-0.071,0.988,0.016
5.756,-0.078,0.985,0.022
5.771,-0.076,0.988,0.029
5.785,-0.073,0.990,0.032
5.799,-0.058,0.989,0.038
5.813,-0.073,0.994,0.015
5.827,-0.069,0.994,0.007
5.840,-0.070,0.989,0.024
5.855,-0.068,0.984,0.042
5.868,-0.063,0.990,0.050
5.883,-0.065,0.994,0.040
5.897,-0.063,0.985,0.041
5.910,-0.063,0.970,0.025
5.923,-0.064,0.973,0.013
