time,x,y,z
5.012,-0.172,0.987,-0.090
5.026,-0.162,0.982,-0.090
5.037,-0.157,0.978,-0.086
5.049,-0.161,0.978,-0.081
5.063,-0.167,0.978,-0.081
5.076,-0.175,0.979,-0.084
5.087,-0.175,0.981,-0.086
5.100,-0.166,0.982,-0.085
5.112,-0.163,0.982,-0.084
5.124,-0.164,0.979,-0.080
5.136,-0.168,0.980,-0.083
5.145,-0.171,0.980,-0.088
5.156,-0.171,0.981,-0.083
5.169,-0.172,0.982,-0.074
5.182,-0.173,0.981,-0.067
5.195,-0.173,0.978,-0.072
5.207,-0.177,0.977,-0.080
5.220,-0.180,0.977,-0.084
5.234,-0.174,0.978,-0.086
5.248,-0.172,0.986,-0.087
5.263,-0.172,0.987,-0.083
5.276,-0.175,0.981,-0.079
5.290,-0.180,0.973,-0.079
5.303,-0.179,0.974,-0.089
5.316,-0.178,0.976,-0.087
5.329,-0.174,0.978,-0.088
5.342,-0.168,0.982,-0.089
5.359,-0.162,0.986,-0.090
5.372,-0.165,0.985,-0.085
5.387,-0.171,0.984,-0.083
5.403,-0.178,0.980,-0.081
5.420,-0.180,0.980,-0.084
5.433,-0.176,0.978,-0.081
5.449,-0.175,0.979,-0.079
5.462,-0.179,0.980,-0.080
5.476,-0.178,0.977,-0.085
5.489,-0.183,0.979,-0.090
5.501,-0.175,0.982,-0.094
5.514,-0.172,0.982,-0.089
5.526,-0.173,0.981,-0.082
5.541,-0.173,0.981,-0.077
5.555,-0.174,0.980,-0.076
5.567,-0.175,0.981,-0.082
5.582,-0.173,0.982,-0.089
5.598,-0.171,0.978,-0.091
5.610,-0.171,0.977,-0.085
5.625,-0.175,0.977,-0.081
5.639,-0.176,0.979,-0.088
5.653,-0.181,0.981,-0.091
5.667,-0.171,0.984,-0.092
5.680,-0.168,0.985,-0.087
5.694,-0.166,0.982,-0.081
5.707,-0.169,0.978,-0.078
5.720,-0.174,0.978,-0.075
5.733,-0.180,0.980,-0.079
