time,x,y,z
5.009,-0.195,0.959,-0.221
5.022,-0.195,0.960,-0.219
5.035,-0.195,0.960,-0.212
5.049,-0.202,0.955,-0.203
5.071,-0.202,0.956,-0.209
5.086,-0.196,0.959,-0.221
5.100,-0.190,0.957,-0.226
5.115,-0.184,0.958,-0.223
5.128,-0.187,0.963,-0.218
5.141,-0.197,0.970,-0.213
5.159,-0.201,0.970,-0.216
5.165,-0.197,0.959,-0.216
5.178,-0.191,0.954,-0.217
5.192,-0.181,0.953,-0.216
5.205,-0.180,0.953,-0.215
5.218,-0.188,0.961,-0.217
5.230,-0.192,0.964,-0.219
5.242,-0.200,0.966,-0.219
5.255,-0.199,0.962,-0.221
5.268,-0.194,0.956,-0.223
5.282,-0.191,0.956,-0.218
5.295,-0.189,0.955,-0.209
5.307,-0.189,0.955,-0.210
5.320,-0.194,0.963,-0.216
5.331,-0.197,0.965,-0.218
5.344,-0.195,0.963,-0.218
5.357,-0.200,0.962,-0.221
5.368,-0.194,0.958,-0.220
5.382,-0.185,0.956,-0.213
5.394,-0.184,0.958,-0.209
5.407,-0.190,0.959,-0.207
5.419,-0.194,0.959,-0.209
5.431,-0.196,0.958,-0.219
5.445,-0.192,0.958,-0.221
5.458,-0.189,0.959,-0.216
5.472,-0.189,0.960,-0.212
5.485,-0.192,0.959,-0.210
5.498,-0.194,0.958,-0.210
5.512,-0.199,0.960,-0.215
5.526,-0.194,0.960,-0.220
5.540,-0.191,0.959,-0.220
5.554,-0.192,0.963,-0.219
5.570,-0.197,0.963,-0.211
5.583,-0.200,0.961,-0.207
5.597,-0.198,0.957,-0.213
5.609,-0.197,0.958,-0.216
5.622,-0.196,0.959,-0.215
5.636,-0.198,0.961,-0.213
5.651,-0.198,0.959,-0.212
5.665,-0.209,0.959,-0.207
5.679,-0.210,0.954,-0.205
5.695,-0.211,0.952,-0.207
5.710,-0.200,0.962,-0.218
5.726,-0.195,0.965,-0.218
5.739,-0.196,0.965,-0.215
5.754,-0.201,0.961,-0.210
5.769,-0.205,0.959,-0.207
5.784,-0.205,0.958,-0.206
5.798,-0.205,0.957,-0.206
5.811,-0.203,0.957,-0.210
5.825,-0.202,0.956,-0.210
5.837,-0.204,0.955,-0.210
5.849,-0.201,0.955,-0.208
5.861,-0.207,0.959,-0.207
5.877,-0.211,0.960,-0.213
5.892,-0.211,0.960,-0.216
5.906,-0.204,0.961,-0.216
5.919,-0.207,0.960,-0.217
5.933,-0.203,0.959,-0.217
5.947,-0.206,0.965,-0.215
5.961,-0.206,0.971,-0.215
5.977,-0.218,0.978,-0.221
5.989,-0.216,0.969,-0.231
6.004,-0.217,0.961,-0.230
6.017,-0.207,0.942,-0.212
6.031,-0.216,0.938,-0.219
6.044,-0.226,0.943,-0.236
6.057,-0.227,0.955,-0.258
6.070,-0.223,0.957,-0.257
6.088,-0.231,0.965,-0.249
6.105,-0.238,0.969,-0.265
6.120,-0.239,0.956,-0.305
6.132,-0.251,0.948,-0.320
6.148,-0.248,0.926,-0.327
6.161,-0.196,0.911,-0.330
6.174,-0.180,0.912,-0.328
6.188,-0.159,0.918,-0.318
6.200,-0.160,0.925,-0.317
6.215,-0.171,0.937,-0.310
6.229,-0.167,0.936,-0.306
6.244,-0.159,0.930,-0.299
6.258,-0.159,0.921,-0.286
6.271,-0.157,0.918,-0.269
6.286,-0.162,0.923,-0.233
6.298,-0.197,0.928,-0.219
6.310,-0.207,0.928,-0.222
6.323,-0.204,0.919,-0.216
6.337,-0.224,0.915,-0.222
6.351,-0.239,0.907,-0.239
6.368,-0.250,0.904,-0.240
6.381,-0.258,0.897,-0.213
6.397,-0.276,0.890,-0.178
6.410,-0.299,0.883,-0.134
6.423,-0.309,0.884,-0.122
6.437,-0.329,0.889,-0.127
6.452,-0.353,0.895,-0.153
6.464,-0.360,0.899,-0.162
6.478,-0.345,0.903,-0.196
6.492,-0.285,0.896,-0.212
6.505,-0.236,0.907,-0.155
6.518,-0.229,0.919,-0.077
6.531,-0.200,0.913,0.106
6.545,-0.218,0.912,0.154
6.557,-0.354,1.006,0.169
6.569,-0.374,1.060,0.157
6.581,-0.450,1.208,-0.217
6.594,-0.436,1.267,-0.540
6.607,-0.209,1.135,-0.369
6.623,-0.167,1.042,-0.159
6.636,-0.158,0.894,0.116
6.650,-0.184,0.815,0.141
6.664,-0.210,0.810,0.074
6.679,-0.295,0.863,-0.126
6.691,-0.350,0.902,-0.208
6.705,-0.384,0.931,-0.342
6.720,-0.388,0.953,-0.466
6.734,-0.405,0.985,-0.492
6.748,-0.434,1.075,-0.412
6.764,-0.211,1.054,-0.194
6.776,-0.141,1.012,-0.072
6.792,-0.070,0.943,0.099
6.808,-0.035,0.910,0.112
6.820,-0.047,0.904,0.094
6.833,-0.063,0.912,0.011
6.845,-0.119,0.933,-0.045
6.859,-0.184,0.989,-0.167
6.871,-0.177,1.023,-0.203
6.885,-0.126,1.086,-0.215
6.898,-0.123,1.090,-0.141
6.912,-0.103,1.053,-0.067
6.925,-0.074,0.947,-0.040
6.938,-0.068,0.898,-0.033
6.951,-0.073,0.837,-0.056
6.965,-0.069,0.840,-0.085
6.979,-0.052,0.870,-0.178
6.991,-0.045,0.877,-0.205
7.005,-0.123,0.884,-0.221
7.017,-0.208,0.906,-0.286
7.031,-0.342,0.948,-0.435
7.045,-0.369,0.965,-0.436
7.058,-0.282,0.942,-0.343
7.070,-0.118,0.881,-0.279
7.086,-0.049,0.869,-0.252
7.099,0.034,0.825,-0.211
7.113,0.082,0.745,-0.231
7.126,0.026,0.732,-0.316
7.139,-0.120,0.811,-0.442
7.155,-0.174,0.877,-0.445
7.168,-0.150,1.009,-0.422
7.181,-0.101,1.046,-0.397
7.195,0.054,1.024,-0.399
7.215,0.169,0.990,-0.370
7.218,0.314,0.868,-0.340
7.231,0.333,0.800,-0.335
7.246,0.246,0.740,-0.297
7.260,0.181,0.728,-0.368
7.276,0.144,0.743,-0.437
7.291,0.111,0.795,-0.466
7.304,0.110,0.833,-0.455
7.323,0.166,0.819,-0.490
7.337,0.247,0.789,-0.506
7.350,0.261,0.778,-0.497
7.364,0.271,0.747,-0.557
7.377,0.280,0.747,-0.585
7.393,0.211,0.843,-0.553
7.407,0.219,0.893,-0.548
7.421,0.251,0.851,-0.480
7.436,0.302,0.720,-0.427
7.449,0.375,0.646,-0.564
7.462,0.378,0.627,-0.595
7.476,0.365,0.642,-0.618
7.490,0.327,0.671,-0.610
7.504,0.281,0.727,-0.571
7.518,0.346,0.676,-0.540
7.531,0.378,0.634,-0.540
7.547,0.432,0.534,-0.545
7.561,0.479,0.483,-0.565
7.575,0.497,0.510,-0.579
7.589,0.483,0.567,-0.565
7.603,0.501,0.563,-0.547
7.616,0.494,0.525,-0.523
7.630,0.550,0.489,-0.557
7.645,0.578,0.501,-0.604
7.658,0.593,0.572,-0.675
7.671,0.596,0.613,-0.693
7.684,0.573,0.629,-0.707
7.698,0.579,0.604,-0.742
7.711,0.601,0.566,-0.753
7.726,0.635,0.496,-0.832
7.740,0.655,0.428,-0.872
7.753,0.655,0.419,-0.896
7.766,0.665,0.442,-0.909
7.780,0.646,0.467,-0.909
7.794,0.667,0.476,-0.934
7.808,0.675,0.467,-0.945
7.821,0.697,0.437,-0.968
7.833,0.705,0.418,-0.963
7.847,0.713,0.378,-0.930
7.860,0.733,0.334,-0.881
7.875,0.750,0.314,-0.863
7.910,0.744,0.292,-0.819
7.911,0.731,0.292,-0.816
7.912,0.708,0.297,-0.820
7.922,0.681,0.322,-0.794
7.934,0.661,0.337,-0.776
7.948,0.653,0.361,-0.701
7.960,0.652,0.359,-0.660
7.972,0.630,0.334,-0.607
7.985,0.610,0.315,-0.589
7.998,0.594,0.280,-0.589
8.009,0.595,0.271,-0.596
8.022,0.570,0.269,-0.610
8.034,0.566,0.273,-0.608
8.045,0.549,0.284,-0.610
8.057,0.506,0.309,-0.628
8.068,0.480,0.312,-0.633
8.080,0.469,0.312,-0.643
8.092,0.447,0.309,-0.669
8.103,0.445,0.307,-0.679
8.115,0.451,0.305,-0.689
8.127,0.458,0.307,-0.696
8.139,0.458,0.316,-0.704
8.153,0.474,0.322,-0.719
8.167,0.483,0.320,-0.723
8.180,0.511,0.319,-0.731
8.201,0.538,0.348,-0.740
8.214,0.549,0.406,-0.753
8.227,0.562,0.439,-0.759
8.240,0.621,0.467,-0.762
8.257,0.715,0.420,-0.779
8.271,0.740,0.380,-0.811
8.285,0.724,0.323,-0.810
8.298,0.685,0.298,-0.779
8.312,0.682,0.289,-0.765
8.325,0.655,0.288,-0.752
8.339,0.641,0.296,-0.754
8.353,0.603,0.326,-0.769
8.367,0.584,0.351,-0.766
8.380,0.581,0.356,-0.754
8.393,0.586,0.343,-0.719
8.406,0.581,0.333,-0.703
8.420,0.578,0.318,-0.686
8.435,0.577,0.315,-0.688
8.451,0.567,0.303,-0.689
8.464,0.573,0.295,-0.699
8.479,0.583,0.286,-0.710
8.493,0.577,0.285,-0.713
8.504,0.574,0.284,-0.708
8.517,0.566,0.288,-0.707
8.530,0.551,0.294,-0.716
8.545,0.545,0.297,-0.720
8.561,0.537,0.300,-0.729
8.573,0.524,0.303,-0.737
8.588,0.522,0.303,-0.733
8.602,0.528,0.302,-0.730
8.616,0.544,0.304,-0.743
8.631,0.555,0.307,-0.749
8.645,0.576,0.319,-0.751
8.658,0.582,0.328,-0.740
8.677,0.584,0.328,-0.734
8.689,0.587,0.324,-0.734
8.702,0.590,0.321,-0.749
8.718,0.592,0.324,-0.759
8.732,0.595,0.333,-0.765
8.745,0.591,0.333,-0.757
8.759,0.589,0.329,-0.753
8.774,0.589,0.317,-0.744
8.785,0.590,0.315,-0.743
8.799,0.591,0.315,-0.743
8.814,0.586,0.319,-0.734
8.828,0.585,0.320,-0.732
8.841,0.582,0.315,-0.727
8.854,0.579,0.308,-0.726
8.869,0.574,0.303,-0.723
8.882,0.568,0.303,-0.716
8.898,0.565,0.305,-0.714
8.911,0.564,0.307,-0.714
8.928,0.563,0.307,-0.718
8.941,0.556,0.307,-0.719
8.954,0.550,0.309,-0.716
8.969,0.540,0.313,-0.710
8.984,0.541,0.314,-0.711
8.997,0.547,0.314,-0.722
9.014,0.560,0.316,-0.738
9.030,0.568,0.324,-0.746
9.043,0.567,0.328,-0.747
9.056,0.562,0.330,-0.740
9.071,0.561,0.321,-0.730
9.084,0.561,0.314,-0.728
9.097,0.564,0.307,-0.734
9.110,0.583,0.300,-0.741
9.123,0.595,0.304,-0.754
9.138,0.602,0.307,-0.758
9.152,0.611,0.310,-0.753
9.169,0.606,0.307,-0.742
9.182,0.598,0.304,-0.730
9.195,0.588,0.308,-0.726
9.208,0.597,0.304,-0.722
9.223,0.595,0.309,-0.721
9.236,0.595,0.314,-0.718
9.251,0.594,0.317,-0.716
9.261,0.589,0.320,-0.710
9.275,0.587,0.320,-0.707
9.289,0.589,0.320,-0.705
9.302,0.591,0.319,-0.705
9.315,0.595,0.318,-0.707
9.328,0.602,0.316,-0.715
9.342,0.603,0.317,-0.719
9.357,0.606,0.320,-0.722
9.371,0.606,0.320,-0.720
9.384,0.602,0.321,-0.713
9.395,0.600,0.321,-0.708
9.407,0.595,0.322,-0.699
9.418,0.595,0.323,-0.698
9.431,0.595,0.323,-0.704
9.443,0.595,0.324,-0.708
9.456,0.597,0.324,-0.711
9.468,0.597,0.326,-0.717
9.482,0.597,0.321,-0.720
9.494,0.597,0.318,-0.721
9.508,0.595,0.316,-0.724
9.520,0.592,0.315,-0.724
9.533,0.592,0.316,-0.721
9.547,0.592,0.315,-0.721
9.559,0.593,0.317,-0.723
9.570,0.595,0.318,-0.726
9.583,0.600,0.321,-0.730
9.596,0.601,0.325,-0.731
9.608,0.598,0.325,-0.725
9.621,0.588,0.320,-0.713
9.634,0.583,0.317,-0.707
9.648,0.581,0.314,-0.705
9.661,0.580,0.315,-0.709
9.674,0.584,0.320,-0.720
9.688,0.584,0.322,-0.726
9.700,0.590,0.320,-0.735
9.714,0.593,0.320,-0.735
9.728,0.588,0.316,-0.728
9.741,0.584,0.317,-0.725
9.755,0.581,0.320,-0.724
9.768,0.575,0.322,-0.719
9.780,0.572,0.321,-0.719
9.792,0.568,0.319,-0.721
9.804,0.568,0.320,-0.724
9.817,0.571,0.321,-0.727
9.830,0.574,0.321,-0.731
9.842,0.573,0.322,-0.732
9.855,0.572,0.323,-0.729
9.866,0.571,0.324,-0.727
9.879,0.570,0.323,-0.722
9.892,0.569,0.321,-0.722
9.935,0.567,0.315,-0.724
9.935,0.566,0.313,-0.725
9.936,0.565,0.313,-0.727
9.940,0.564,0.313,-0.729
9.949,0.564,0.310,-0.731
9.961,0.565,0.306,-0.734
9.974,0.570,0.302,-0.739
9.987,0.570,0.304,-0.742
9.999,0.573,0.309,-0.744
10.011,0.575,0.311,-0.740
10.024,0.577,0.308,-0.733
10.036,0.578,0.304,-0.732
10.048,0.579,0.302,-0.733
10.059,0.581,0.305,-0.738
10.072,0.582,0.310,-0.738
10.084,0.585,0.319,-0.742
10.097,0.587,0.318,-0.741
10.110,0.587,0.311,-0.734
10.126,0.587,0.301,-0.730
10.140,0.589,0.301,-0.731
10.155,0.594,0.311,-0.738
10.170,0.591,0.322,-0.730
10.184,0.586,0.323,-0.722
10.200,0.575,0.314,-0.700
10.213,0.569,0.302,-0.704
10.230,0.575,0.301,-0.726
10.245,0.583,0.306,-0.738
10.260,0.595,0.325,-0.756
10.273,0.597,0.333,-0.745
10.287,0.587,0.330,-0.733
10.302,0.566,0.312,-0.709
10.316,0.561,0.303,-0.702
10.328,0.563,0.299,-0.717
10.344,0.570,0.316,-0.735
10.358,0.577,0.327,-0.733
10.374,0.575,0.324,-0.733
10.389,0.576,0.310,-0.727
10.402,0.575,0.304,-0.731
10.415,0.575,0.309,-0.736
10.428,0.574,0.333,-0.737
10.441,0.577,0.337,-0.725
10.455,0.577,0.331,-0.702
10.470,0.576,0.316,-0.695
10.484,0.578,0.315,-0.706
10.498,0.589,0.323,-0.738
10.510,0.598,0.330,-0.744
10.522,0.610,0.334,-0.740
10.537,0.607,0.330,-0.730
10.550,0.586,0.315,-0.715
10.564,0.578,0.309,-0.724
10.577,0.577,0.292,-0.733
10.589,0.573,0.337,-0.761
10.604,0.583,0.325,-0.730
10.616,0.593,0.282,-0.747
10.628,0.588,0.314,-0.750
10.643,0.564,0.336,-0.703
10.657,0.581,0.324,-0.728
10.673,0.573,0.325,-0.727
10.687,0.580,0.321,-0.737
10.705,0.593,0.323,-0.749
10.720,0.591,0.322,-0.725
10.736,0.589,0.322,-0.737
10.749,0.589,0.312,-0.734
10.765,0.578,0.317,-0.718
10.778,0.550,0.327,-0.713
10.790,0.537,0.333,-0.717
10.805,0.527,0.328,-0.709
10.818,0.539,0.315,-0.712
10.830,0.562,0.309,-0.734
10.842,0.567,0.317,-0.739
10.858,0.575,0.326,-0.747
10.873,0.573,0.329,-0.747
10.889,0.569,0.327,-0.744
10.902,0.560,0.318,-0.734
10.916,0.555,0.315,-0.736
10.930,0.564,0.308,-0.734
10.942,0.584,0.315,-0.734
10.956,0.587,0.318,-0.735
10.971,0.581,0.328,-0.727
10.985,0.570,0.323,-0.724
11.001,0.566,0.323,-0.723
11.015,0.564,0.324,-0.733
11.028,0.558,0.322,-0.750
11.043,0.554,0.322,-0.752
11.056,0.553,0.322,-0.745
11.070,0.561,0.316,-0.743
11.082,0.562,0.317,-0.743
11.097,0.565,0.325,-0.741
11.111,0.568,0.326,-0.739
11.124,0.569,0.325,-0.732
11.138,0.569,0.325,-0.727
11.151,0.568,0.326,-0.722
11.165,0.572,0.326,-0.721
11.180,0.571,0.324,-0.722
11.191,0.577,0.321,-0.726
11.203,0.578,0.321,-0.729
11.216,0.575,0.323,-0.727
11.229,0.573,0.327,-0.725
11.241,0.573,0.324,-0.722
11.255,0.571,0.322,-0.724
11.279,0.565,0.322,-0.734
11.280,0.564,0.320,-0.736
11.294,0.562,0.320,-0.737
11.308,0.560,0.323,-0.736
11.322,0.559,0.327,-0.731
11.338,0.561,0.322,-0.731
11.353,0.560,0.319,-0.737
11.368,0.561,0.318,-0.738
11.384,0.564,0.319,-0.739
11.399,0.570,0.319,-0.733
11.414,0.573,0.317,-0.728
11.429,0.572,0.317,-0.727
11.446,0.569,0.323,-0.725
11.459,0.577,0.326,-0.725
11.472,0.586,0.322,-0.729
11.484,0.598,0.324,-0.739
11.498,0.599,0.327,-0.738
11.511,0.597,0.320,-0.732
11.526,0.588,0.309,-0.724
11.539,0.586,0.307,-0.719
11.551,0.587,0.317,-0.717
11.567,0.590,0.322,-0.719
11.583,0.594,0.329,-0.718
11.598,0.586,0.328,-0.711
11.610,0.577,0.323,-0.706
11.623,0.575,0.321,-0.709
11.637,0.575,0.319,-0.718
11.649,0.579,0.320,-0.721
11.665,0.583,0.324,-0.724
11.681,0.584,0.323,-0.726
11.697,0.591,0.323,-0.728
11.710,0.594,0.323,-0.728
11.725,0.597,0.324,-0.729
11.738,0.598,0.325,-0.728
11.752,0.602,0.318,-0.723
11.765,0.583,0.328,-0.715
11.779,0.595,0.319,-0.710
11.794,0.585,0.327,-0.715
11.808,0.587,0.325,-0.717
11.821,0.586,0.325,-0.720
11.835,0.587,0.322,-0.720
11.849,0.588,0.320,-0.720
11.865,0.591,0.321,-0.721
11.880,0.591,0.328,-0.724
11.893,0.590,0.333,-0.722
11.908,0.589,0.326,-0.718
11.923,0.578,0.322,-0.716
11.937,0.576,0.319,-0.716
11.950,0.580,0.315,-0.720
11.961,0.577,0.319,-0.720
11.974,0.581,0.325,-0.724
11.987,0.585,0.327,-0.727
12.000,0.587,0.332,-0.725
12.015,0.585,0.328,-0.720
12.028,0.585,0.325,-0.717
12.041,0.587,0.326,-0.713
12.057,0.587,0.327,-0.717
12.074,0.589,0.327,-0.719
12.087,0.588,0.327,-0.720
12.100,0.585,0.326,-0.725
12.115,0.585,0.324,-0.727
12.128,0.583,0.320,-0.724
12.140,0.581,0.319,-0.723
12.155,0.575,0.320,-0.722
12.172,0.576,0.324,-0.721
12.186,0.583,0.327,-0.724
12.199,0.584,0.331,-0.726
12.214,0.583,0.330,-0.728
12.227,0.583,0.326,-0.727
12.240,0.577,0.324,-0.722
12.256,0.571,0.326,-0.722
12.270,0.567,0.326,-0.723
12.283,0.571,0.320,-0.723
12.295,0.574,0.319,-0.722
12.308,0.575,0.325,-0.724
12.320,0.575,0.326,-0.729
12.333,0.579,0.327,-0.731
12.346,0.576,0.327,-0.732
12.360,0.571,0.326,-0.731
12.375,0.569,0.324,-0.729
12.389,0.566,0.322,-0.728
12.404,0.566,0.322,-0.730
12.420,0.570,0.326,-0.731
12.432,0.573,0.326,-0.733
12.446,0.574,0.326,-0.732
12.462,0.569,0.322,-0.731
12.474,0.566,0.321,-0.729
12.486,0.565,0.320,-0.729
12.499,0.565,0.321,-0.732
12.511,0.564,0.321,-0.735
12.522,0.572,0.321,-0.737
12.535,0.571,0.322,-0.738
12.553,0.567,0.322,-0.731
12.569,0.569,0.320,-0.729
12.583,0.574,0.320,-0.729
12.595,0.578,0.321,-0.729
12.608,0.578,0.328,-0.730
12.622,0.577,0.329,-0.729
12.636,0.575,0.326,-0.728
12.649,0.572,0.323,-0.730
12.665,0.572,0.323,-0.730
12.682,0.572,0.324,-0.730
12.684,0.572,0.324,-0.732
12.696,0.570,0.323,-0.732
12.710,0.569,0.322,-0.731
12.725,0.570,0.322,-0.733
12.738,0.569,0.321,-0.736
12.755,0.570,0.323,-0.738
12.770,0.571,0.324,-0.735
12.785,0.570,0.325,-0.733
12.798,0.565,0.325,-0.729
12.812,0.564,0.323,-0.726
12.825,0.567,0.322,-0.726
12.837,0.569,0.325,-0.729
12.851,0.570,0.327,-0.729
12.866,0.572,0.327,-0.728
12.881,0.572,0.329,-0.728
12.895,0.571,0.328,-0.727
12.910,0.571,0.322,-0.731
12.925,0.570,0.325,-0.730
12.938,0.569,0.324,-0.729
12.951,0.568,0.321,-0.728
12.964,0.567,0.321,-0.728
12.979,0.569,0.322,-0.730
12.994,0.572,0.322,-0.733
13.006,0.572,0.322,-0.735
13.019,0.573,0.320,-0.738
13.033,0.573,0.319,-0.741
13.045,0.573,0.319,-0.739
13.059,0.573,0.319,-0.736
13.070,0.571,0.320,-0.728
13.088,0.573,0.321,-0.726
13.101,0.574,0.329,-0.726
13.115,0.579,0.334,-0.728
13.129,0.579,0.335,-0.729
13.142,0.577,0.333,-0.727
13.157,0.575,0.330,-0.725
13.171,0.571,0.324,-0.724
13.188,0.569,0.321,-0.726
13.200,0.570,0.322,-0.728
13.214,0.572,0.323,-0.728
13.229,0.576,0.323,-0.731
13.243,0.579,0.323,-0.731
13.257,0.579,0.324,-0.729
13.271,0.579,0.323,-0.724
13.286,0.579,0.321,-0.723
13.301,0.581,0.319,-0.726
13.315,0.582,0.320,-0.727
13.329,0.579,0.325,-0.726
13.342,0.578,0.325,-0.728
13.354,0.578,0.325,-0.731
13.368,0.577,0.325,-0.731
13.380,0.577,0.322,-0.736
13.394,0.575,0.321,-0.736
13.408,0.571,0.323,-0.735
13.423,0.567,0.321,-0.735
13.439,0.566,0.321,-0.734
13.453,0.565,0.322,-0.732
13.468,0.566,0.323,-0.731
13.480,0.566,0.323,-0.729
13.495,0.568,0.323,-0.728
13.507,0.571,0.321,-0.728
13.523,0.570,0.324,-0.727
13.539,0.572,0.323,-0.730
13.552,0.571,0.323,-0.732
13.564,0.570,0.323,-0.729
13.578,0.570,0.324,-0.728
13.590,0.570,0.323,-0.728
13.604,0.569,0.322,-0.730
13.619,0.573,0.319,-0.730
13.632,0.572,0.319,-0.729
13.647,0.572,0.321,-0.731
13.662,0.571,0.321,-0.730
13.677,0.573,0.323,-0.732
13.690,0.577,0.322,-0.734
13.703,0.582,0.320,-0.733
13.717,0.580,0.320,-0.731
13.733,0.579,0.321,-0.729
13.746,0.579,0.321,-0.729
13.760,0.583,0.322,-0.727
13.775,0.583,0.324,-0.727
13.788,0.584,0.322,-0.727
13.801,0.582,0.322,-0.728
13.816,0.579,0.323,-0.728
13.830,0.576,0.322,-0.728
13.842,0.574,0.319,-0.730
13.855,0.571,0.319,-0.730
13.870,0.568,0.318,-0.731
13.884,0.568,0.318,-0.730
13.898,0.566,0.323,-0.730
13.912,0.566,0.326,-0.729
13.927,0.567,0.325,-0.728
13.944,0.567,0.320,-0.725
13.957,0.570,0.318,-0.726
