time,x,y,z
5.010,-0.266,0.965,-0.035
5.023,-0.274,0.957,-0.042
5.035,-0.273,0.958,-0.044
5.047,-0.275,0.960,-0.041
5.059,-0.275,0.961,-0.047
5.070,-0.276,0.963,-0.055
5.085,-0.277,0.963,-0.053
5.097,-0.286,0.960,-0.049
5.110,-0.290,0.959,-0.049
5.122,-0.285,0.959,-0.036
5.135,-0.283,0.960,-0.034
5.149,-0.280,0.961,-0.042
5.160,-0.271,0.962,-0.051
5.172,-0.273,0.960,-0.046
5.184,-0.282,0.963,-0.047
5.197,-0.284,0.966,-0.051
5.211,-0.290,0.965,-0.059
5.223,-0.287,0.965,-0.061
5.236,-0.277,0.961,-0.060
5.251,-0.271,0.960,-0.055
5.263,-0.263,0.962,-0.047
5.276,-0.261,0.964,-0.045
5.290,-0.271,0.967,-0.050
5.302,-0.280,0.966,-0.048
5.315,-0.289,0.963,-0.050
5.328,-0.284,0.961,-0.058
5.341,-0.278,0.959,-0.056
5.354,-0.272,0.960,-0.050
5.366,-0.270,0.961,-0.042
5.382,-0.278,0.963,-0.048
5.396,-0.282,0.963,-0.056
5.410,-0.285,0.963,-0.054
5.423,-0.284,0.958,-0.032
5.436,-0.278,0.955,-0.021
5.448,-0.269,0.956,-0.036
5.462,-0.269,0.957,-0.036
5.474,-0.283,0.954,-0.026
5.489,-0.288,0.956,-0.022
5.502,-0.285,0.965,-0.037
5.515,-0.280,0.971,-0.047
5.531,-0.263,0.969,-0.041
5.547,-0.252,0.965,-0.024
5.561,-0.248,0.970,-0.031
5.575,-0.242,0.976,-0.037
5.589,-0.240,0.969,-0.035
5.604,-0.240,0.964,-0.028
5.618,-0.241,0.958,-0.029
5.630,-0.243,0.964,-0.042
5.645,-0.247,0.964,-0.042
5.659,-0.246,0.954,-0.029
5.671,-0.247,0.944,-0.014
5.684,-0.250,0.947,-0.012
5.717,-0.255,0.954,-0.010
5.718,-0.254,0.969,-0.010
5.720,-0.253,0.979,-0.010
5.733,-0.236,0.986,-0.014
5.745,-0.229,0.985,-0.022
5.760,-0.207,0.975,-0.040
5.774,-0.197,0.973,-0.036
5.787,-0.173,0.967,-0.001
5.800,-0.158,0.968,0.018
5.816,-0.155,0.974,0.015
5.830,-0.150,0.986,-0.027
5.842,-0.166,0.987,-0.054
5.853,-0.183,0.984,-0.109
5.865,-0.189,0.984,-0.138
5.876,-0.190,0.979,-0.162
5.888,-0.203,0.967,-0.149
5.901,-0.207,0.964,-0.118
5.913,-0.192,0.941,-0.079
5.925,-0.184,0.929,-0.076
5.937,-0.178,0.919,-0.088
5.949,-0.192,0.924,-0.152
5.962,-0.207,0.956,-0.201
5.974,-0.264,1.062,-0.317
5.986,-0.290,1.106,-0.362
5.999,-0.341,1.162,-0.363
6.012,-0.347,1.165,-0.348
6.025,-0.329,1.146,-0.300
6.037,-0.275,1.125,-0.258
6.049,-0.199,1.049,-0.160
6.062,-0.180,1.010,-0.134
6.074,-0.139,0.932,-0.154
6.091,-0.120,0.907,-0.187
6.106,-0.071,0.871,-0.282
6.118,-0.083,0.885,-0.274
6.133,-0.094,0.904,-0.244
6.146,-0.079,0.943,-0.156
6.159,-0.087,0.959,-0.106
6.172,-0.142,0.982,-0.056
6.185,-0.169,0.991,-0.076
6.199,-0.211,0.998,-0.145
6.214,-0.269,1.016,-0.199
6.227,-0.284,1.025,-0.212
6.241,-0.293,1.030,-0.192
6.254,-0.282,1.019,-0.155
