time,x,y,z
5.005,-0.032,0.987,-0.029
5.010,-0.025,0.995,-0.022
5.015,-0.022,0.986,-0.022
5.021,-0.020,0.978,-0.008
5.026,-0.025,0.977,-0.015
5.030,-0.015,0.972,-0.006
5.035,-0.023,0.965,0.003
5.040,-0.019,0.964,-0.006
5.046,-0.023,0.966,-0.010
5.050,-0.024,0.968,-0.007
5.055,-0.025,0.972,-0.016
5.060,-0.028,0.977,-0.025
5.067,-0.028,0.981,-0.032
5.070,-0.027,0.992,-0.033
5.075,-0.029,0.992,-0.046
5.080,-0.023,0.991,-0.050
5.085,-0.018,0.994,-0.043
5.090,-0.023,0.994,-0.041
5.096,-0.019,0.994,-0.037
5.100,-0.023,0.991,-0.041
5.105,-0.021,0.994,-0.039
5.110,-0.024,1.000,-0.031
5.115,-0.020,0.992,-0.028
5.120,-0.033,0.991,-0.033
5.125,-0.035,0.995,-0.031
5.131,-0.024,0.988,-0.035
5.136,-0.023,0.991,-0.040
5.140,-0.030,0.984,-0.056
5.146,-0.042,0.981,-0.058
5.150,-0.044,0.981,-0.065
5.156,-0.045,0.982,-0.065
5.161,-0.037,0.982,-0.060
5.166,-0.039,0.980,-0.056
5.171,-0.032,0.977,-0.059
5.176,-0.034,0.990,-0.058
5.181,-0.030,0.993,-0.052
5.186,-0.030,0.993,-0.046
5.191,-0.030,0.993,-0.040
5.196,-0.027,0.993,-0.038
5.201,-0.029,0.992,-0.048
5.206,-0.028,0.989,-0.051
5.211,-0.021,0.991,-0.053
5.216,-0.023,0.988,-0.060
5.221,-0.029,0.987,-0.060
5.226,-0.017,0.984,-0.062
5.412,-0.020,0.982,-0.058
5.413,-0.019,0.980,-0.058
5.413,-0.019,0.977,-0.056
5.414,-0.012,0.972,-0.058
5.415,-0.021,0.975,-0.049
5.415,-0.016,0.971,-0.056
5.416,-0.015,0.976,-0.056
5.417,-0.010,0.976,-0.050
5.417,-0.010,0.981,-0.049
5.418,-0.013,0.981,-0.059
5.419,0.006,0.979,-0.068
5.420,0.015,0.979,-0.071
5.420,0.009,0.986,-0.071
5.421,0.014,0.977,-0.075
5.426,0.018,0.979,-0.064
5.431,0.017,0.981,-0.065
5.436,0.020,0.985,-0.055
5.441,0.010,0.994,-0.058
5.446,0.005,0.998,-0.055
5.451,0.002,1.001,-0.059
5.456,-0.002,1.004,-0.048
5.461,-0.001,1.003,-0.051
5.467,-0.002,1.000,-0.045
5.472,-0.007,0.997,-0.046
5.477,-0.010,0.991,-0.032
5.482,-0.011,0.988,-0.033
5.487,-0.015,0.987,-0.029
5.492,-0.013,0.988,-0.028
5.497,-0.014,0.984,-0.030
5.502,-0.009,0.983,-0.041
5.507,-0.015,0.980,-0.039
5.512,-0.013,0.985,-0.045
5.517,-0.016,0.980,-0.042
5.522,-0.019,0.980,-0.051
5.527,-0.023,0.980,-0.057
5.532,-0.019,0.979,-0.060
5.537,-0.019,0.979,-0.063
5.542,-0.002,0.978,-0.058
5.547,-0.006,0.979,-0.062
5.552,-0.003,0.987,-0.056
5.557,0.006,0.987,-0.060
5.562,0.016,0.991,-0.055
5.567,0.015,0.991,-0.051
5.572,0.013,0.995,-0.053
5.577,0.010,0.996,-0.056
5.582,0.003,1.001,-0.051
5.587,0.004,1.001,-0.050
5.593,-0.001,1.006,-0.051
5.598,-0.004,1.004,-0.062
5.603,-0.003,1.004,-0.052
5.608,-0.002,1.004,-0.054
5.613,-0.004,1.000,-0.049
5.618,-0.007,0.996,-0.050
