time,x,y,z
5.005,0.076,0.996,0.040
5.010,0.071,0.992,0.028
5.015,0.072,0.983,0.032
5.020,0.071,0.986,0.025
5.026,0.060,0.982,0.028
5.031,0.065,0.981,0.028
5.035,0.061,0.977,0.032
5.040,0.058,0.980,0.023
5.045,0.060,0.981,0.019
5.050,0.065,0.983,0.021
5.058,0.066,0.984,0.016
5.060,0.064,0.987,0.025
5.065,0.068,0.994,0.020
5.070,0.071,0.993,0.025
5.075,0.071,0.996,0.026
5.080,0.072,1.002,0.034
5.085,0.072,0.993,0.035
5.090,0.071,0.987,0.032
5.112,0.077,1.001,0.030
5.114,0.070,1.004,0.020
5.116,0.068,0.992,0.010
5.117,0.071,0.989,0.026
5.119,0.071,0.987,0.024
5.121,0.068,0.984,0.036
5.128,0.064,0.991,0.033
5.131,0.072,0.987,0.032
5.135,0.074,0.988,0.024
5.141,0.065,0.990,0.034
5.145,0.075,0.991,0.033
5.151,0.074,0.994,0.028
5.156,0.076,1.000,0.031
5.161,0.079,0.994,0.033
5.166,0.068,0.996,0.027
5.171,0.074,0.992,0.027
5.176,0.068,0.981,0.033
5.181,0.077,0.995,0.026
5.356,0.073,0.998,0.026
5.357,0.074,0.991,0.027
5.358,0.076,0.988,0.028
5.358,0.078,0.986,0.036
5.359,0.075,0.982,0.032
5.360,0.074,0.983,0.039
5.360,0.078,0.989,0.053
5.361,0.073,0.991,0.053
5.363,0.071,0.983,0.048
5.364,0.070,0.985,0.051
5.364,0.065,0.978,0.059
5.365,0.079,0.996,0.038
5.507,0.077,0.991,0.037
5.508,0.063,0.996,0.037
5.510,0.067,0.990,0.031
5.512,0.076,0.994,0.039
5.514,0.076,0.994,0.039
5.515,0.077,0.989,0.038
5.517,0.074,0.990,0.050
5.520,0.082,0.990,0.050
5.522,0.080,0.984,0.050
5.524,0.077,0.978,0.048
5.525,0.088,0.989,0.054
5.528,0.091,0.990,0.058
5.530,0.084,0.984,0.057
5.532,0.083,0.989,0.051
5.533,0.081,0.992,0.060
5.535,0.069,0.990,0.060
5.537,0.088,1.000,0.054
5.539,0.089,0.998,0.057
5.540,0.084,0.997,0.052
5.585,0.081,0.998,0.061
5.585,0.088,0.999,0.063
5.586,0.076,0.994,0.057
5.586,0.079,0.986,0.060
5.587,0.095,0.986,0.065
5.588,0.083,0.985,0.069
5.588,0.070,0.979,0.070
5.589,0.078,0.996,0.068
5.589,0.082,0.993,0.068
5.590,0.086,0.997,0.065
5.594,0.083,0.997,0.070
5.827,0.081,1.001,0.074
5.828,0.083,0.997,0.066
5.828,0.076,0.995,0.076
5.829,0.070,0.994,0.069
5.830,0.081,0.991,0.073
5.830,0.073,0.989,0.076
5.831,0.071,0.993,0.064
5.832,0.066,0.991,0.070
5.832,0.074,0.992,0.076
5.833,0.076,0.994,0.060
5.833,0.084,0.985,0.069
5.834,0.068,0.981,0.068
5.835,0.038,0.996,0.076
5.835,0.036,1.001,0.072
5.843,0.025,0.998,0.074
5.846,0.022,0.996,0.066
5.851,0.031,0.998,0.073
5.856,0.048,1.000,0.075
5.861,0.058,0.997,0.089
5.866,0.062,0.990,0.080
5.871,0.067,0.997,0.080
5.876,0.071,0.991,0.081
5.881,0.076,0.991,0.081
5.886,0.091,0.984,0.084
5.891,0.084,0.980,0.074
5.896,0.098,0.984,0.080
5.901,0.108,0.984,0.079
5.906,0.106,0.978,0.076
5.911,0.108,0.982,0.086
5.916,0.111,0.983,0.085
5.922,0.108,0.985,0.085
5.926,0.112,0.985,0.077
5.931,0.115,0.990,0.082
5.936,0.118,0.992,0.091
5.941,0.113,0.988,0.092
5.946,0.108,0.985,0.088
5.951,0.100,0.987,0.087
5.956,0.103,0.981,0.087
5.962,0.101,0.981,0.078
5.966,0.101,0.980,0.087
5.972,0.098,0.981,0.082
5.976,0.101,0.985,0.082
5.981,0.097,0.981,0.079
5.987,0.092,0.983,0.084
5.992,0.090,0.986,0.082
5.997,0.094,0.984,0.081
6.002,0.095,0.989,0.082
6.007,0.090,0.991,0.082
6.012,0.093,0.995,0.082
6.020,0.087,0.991,0.082
6.021,0.088,0.993,0.081
6.027,0.090,0.993,0.083
6.033,0.083,0.992,0.076
6.038,0.080,0.992,0.087
6.043,0.087,0.994,0.080
6.049,0.079,0.992,0.079
6.053,0.079,0.992,0.077
6.259,0.079,0.999,0.075
6.260,0.075,0.994,0.082
6.260,0.076,0.998,0.081
6.261,0.075,0.993,0.083
6.262,0.072,0.989,0.087
6.263,0.080,0.991,0.082
6.263,0.078,0.988,0.083
6.264,0.071,0.989,0.085
6.265,0.078,0.992,0.083
6.265,0.079,0.987,0.083
6.266,0.079,0.989,0.085
6.267,0.079,0.987,0.092
6.268,0.104,0.980,0.089
6.390,0.097,0.982,0.097
6.392,0.105,0.986,0.090
6.395,0.102,0.986,0.087
6.397,0.104,0.986,0.082
6.399,0.100,0.989,0.079
6.400,0.101,0.991,0.077
6.406,0.104,0.990,0.076
6.408,0.097,0.992,0.080
6.410,0.096,0.988,0.084
6.412,0.091,0.990,0.089
6.413,0.095,0.987,0.080
6.415,0.086,0.988,0.084
6.417,0.086,0.988,0.086
6.418,0.092,0.990,0.077
6.420,0.092,0.996,0.086
6.422,0.093,0.993,0.092
6.424,0.084,0.972,0.097
6.426,0.092,0.990,0.089
6.427,0.096,0.992,0.088
6.429,0.092,0.981,0.090
6.487,0.088,0.987,0.096
6.488,0.086,0.987,0.098
6.489,0.090,0.984,0.102
6.489,0.090,0.988,0.101
6.490,0.085,0.988,0.101
6.491,0.088,0.985,0.097
6.492,0.089,0.987,0.099
6.492,0.091,0.983,0.098
6.493,0.089,0.979,0.098
6.494,0.091,0.985,0.092
6.495,0.096,0.987,0.086
6.495,0.091,0.983,0.085
6.496,0.094,0.981,0.092
6.502,0.097,0.985,0.081
6.505,0.099,0.987,0.085
6.510,0.096,0.990,0.086
6.515,0.099,0.987,0.087
6.520,0.099,0.984,0.079
6.526,0.103,0.987,0.094
6.726,0.105,0.984,0.094
6.726,0.088,0.977,0.098
6.727,0.097,0.990,0.086
6.727,0.102,0.989,0.089
6.728,0.099,0.989,0.095
6.729,0.094,0.987,0.089
6.729,0.100,0.986,0.091
6.730,0.096,0.987,0.091
6.731,0.097,0.980,0.095
6.731,0.096,0.991,0.094
6.732,0.097,0.987,0.092
6.733,0.095,0.991,0.096
6.733,0.091,0.988,0.092
6.734,0.093,0.990,0.094
6.742,0.099,0.991,0.100
6.743,0.094,0.993,0.096
6.747,0.097,0.990,0.088
6.752,0.090,0.988,0.099
6.757,0.096,0.988,0.089
6.762,0.093,0.984,0.098
6.767,0.093,0.985,0.102
6.772,0.094,0.977,0.097
6.777,0.095,0.982,0.091
6.782,0.095,0.981,0.093
6.787,0.095,0.985,0.096
6.792,0.096,0.990,0.096
